CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
00100001 02,AO7,10,1,1395,1992,1114,23,2,1,0,1,5,12,15,0,0,0,0,0,1,0,33,5,2,1,0,0,,0,3,39413,1
00100002 02,AO7,10,2,1395,1985,1030,30,4,1,0,2,2,12,15,1,0,1,1,0,0,0,31,9,2,3,0,0,,0,4,128307,0
00100002 03,AO7,10,2,1395,1997,1169,18,1,1,0,2,3,12,15,1,0,1,1,0,0,0,31,9,2,3,0,0,,1,4,128307,1
00100003 01,AO7,10,3,1395,1986,1037,29,3,1,0,1,5,12,15,1,0,1,1,0,0,0,31,10,3,1,0,0,,0,4,137620,1
00100003 08,AO7,10,3,1395,1998,1188,17,1,1,0,2,2,12,15,1,0,1,1,0,0,0,31,10,3,3,0,0,,0,4,137620,1
00100003 10,AO7,10,3,1395,1973,882,42,6,1,0,0,,12,15,1,0,1,1,0,0,0,31,10,3,0,0,0,,0,4,137620,1
00100005 02,AO7,10,5,1395,1982,994,33,4,1,0,1,4,11,12,0,1,1,0,0,0,0,31,7,1,1,0,0,,0,3,61884,0
00100006 02,AO7,10,6,1395,1977,930,38,5,1,0,0,,11,12,0,1,1,0,0,0,0,31,8,3,0,0,0,,0,3,57219,1
00100008 02,AO7,10,8,1395,1991,1096,24,2,1,0,2,2,12,12,1,1,1,0,0,0,0,31,6,3,3,0,1,,0,4,94836,1
00100009 02,AO7,10,9,1395,1981,983,34,4,1,0,1,3,12,12,0,0,1,1,0,0,0,31,6,1,1,0,1,,0,4,98793,0
00100010 02,AO7,10,10,1395,1976,917,39,5,1,0,2,1,12,11,1,1,1,1,0,0,1,34,7,0,3,0,0,,0,5,198861,1
00100010 04,AO7,10,10,1395,1994,1139,21,2,1,0,2,5,12,11,1,1,1,1,0,0,1,34,7,0,3,0,0,,1,5,198861,1
00100013 03,AO7,10,13,1395,1993,1125,22,2,1,0,2,2,11,12,1,1,1,1,0,0,0,31,10,3,3,0,0,,0,5,151115,1
00100014 03,AO7,10,14,1395,2001,1214,15,1,1,0,1,6,12,15,0,1,1,0,0,0,0,31,7,0,2,0,0,,0,3,57795,1
00100015 02,AO7,10,15,1395,1988,1067,27,3,1,0,1,4,12,12,1,1,1,1,0,0,1,31,6,1,1,0,1,,0,5,168102,1
