CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
5  69  1,CM7,5,69,1423,1958,706,59,9,1,0,2,3,14,12,1,0,1,1,0,0,0,31,10,4,3,0,7,1,0,5,115207,
5  69  2,CM7,5,69,1423,1978,946,39,5,1,0,2,4,14,12,1,0,1,1,0,0,0,31,10,4,3,0,0,0,1,5,115207,1
5  69  3,CM7,5,69,1423,1998,1185,19,1,1,0,1,6,14,12,1,0,1,1,0,0,0,31,10,4,2,0,0,0,0,5,115207,1
5 304  2,CM7,5,304,1423,1986,1035,32,4,1,0,3,4,13,12,1,0,1,1,0,0,1,31,6,1,5,0,1,0,1,5,216209,1
5 320  2,CM7,5,320,1423,1984,1011,34,4,1,0,2,5,14,23,1,1,1,1,0,0,0,31,6,1,3,0,2,0,1,5,134445,1
5 320  3,CM7,5,320,1423,2002,1227,16,1,1,0,2,5,14,23,1,1,1,1,0,0,0,31,6,1,3,0,0,0,0,5,134445,0
5 322  2,CM7,5,322,1423,1979,949,39,5,1,0,2,3,14,23,1,0,1,0,0,0,0,31,6,1,3,0,1,1,1,4,31567,1
5 322  3,CM7,5,322,1423,1998,1185,19,1,1,0,2,6,14,23,1,0,1,0,0,0,0,31,6,1,3,0,3,0,1,4,31567,1
5 322  4,CM7,5,322,1423,2003,1237,15,1,1,0,2,4,14,23,1,0,1,0,0,0,0,31,6,1,3,0,0,0,1,4,31567,0
5 323  2,CM7,5,323,1423,1992,1114,25,3,1,0,1,6,13,22,1,0,1,1,0,0,0,31,7,2,2,0,2,0,2,4,67243,0
5 323  7,CM7,5,323,1423,2002,1232,15,1,1,0,2,3,97,97,7,7,7,7,7,7,7,97,7,2,3,7,1,0,0,4,67243,0
5 546  1,CM7,5,546,1424,1984,1010,34,4,1,0,1,6,13,23,1,0,0,0,0,0,0,31,5,1,2,0,1,1,0,4,8074,0
5 546  2,CM7,5,546,1425,2002,1229,16,1,1,0,1,6,13,23,1,0,0,0,0,0,0,31,5,1,2,0,2,0,0,4,8074,0
5 611  2,CM7,5,611,1423,1996,1153,22,2,1,0,2,7,12,41,1,0,1,0,0,0,0,31,5,0,4,0,3,0,1,5,98777,0
5 611  3,CM7,5,611,1423,2000,1205,18,1,1,0,2,6,12,41,1,0,1,0,0,0,0,31,5,0,3,0,1,0,1,5,98777,0
5 611  4,CM7,5,611,1423,2003,1241,15,1,1,0,2,3,12,41,1,0,1,0,0,0,0,31,5,0,3,0,0,0,0,5,98777,0
5 635  2,CM7,5,635,1423,1976,923,41,6,1,0,3,3,11,22,1,1,1,1,0,0,0,31,14,1,5,0,0,1,2,5,181061,1
5 635  4,CM7,5,635,1423,1998,1181,20,2,1,0,3,1,11,22,1,1,1,1,0,0,0,31,14,1,5,0,4,0,1,5,181061,1
5 635  5,CM7,5,635,1423,2001,1220,16,1,1,0,2,7,11,22,1,1,1,1,0,0,0,31,14,1,4,0,0,0,1,5,181061,1
5 635  9,CM7,5,635,1423,1985,1029,32,4,1,0,2,6,11,22,1,1,1,1,0,0,0,31,14,1,3,0,12,0,2,5,181061,0
5 669  2,CM7,5,669,1423,1978,947,39,5,1,0,1,6,14,22,1,0,1,0,0,0,0,31,3,0,2,0,2,0,0,4,56283,0
5 690  2,CM7,5,690,1423,1983,1001,35,5,1,0,2,4,21,22,1,1,1,1,0,0,0,31,7,1,3,0,30,0,0,5,170372,1
5 690  3,CM7,5,690,1423,1998,1180,20,2,1,0,3,1,21,22,1,1,1,1,0,0,0,31,7,1,5,0,0,0,1,5,170372,0
5 690  4,CM7,5,690,1423,2002,1229,16,1,1,0,2,3,21,22,1,1,1,1,0,0,0,31,7,1,3,0,3,0,1,5,170372,0
5 786  1,CM7,5,786,1423,1993,1128,24,2,1,0,2,3,13,22,1,0,0,0,0,0,0,31,4,1,3,0,3,0,2,3,-10673,1
51060  2,CM7,5,1060,1423,1987,1053,30,4,1,0,1,6,13,22,1,0,1,1,0,0,0,31,6,2,2,0,2,0,1,5,128030,0
51091  2,CM7,5,1091,1423,1988,1057,30,4,1,0,3,3,13,22,1,1,1,0,0,0,0,31,4,1,5,0,6,0,1,4,61616,1
51091  4,CM7,5,1091,1423,1999,1197,18,1,1,0,2,6,13,22,1,1,1,0,0,0,0,31,4,1,3,0,2,0,1,4,61616,0
51110  1,CM7,5,1110,1423,1986,1041,31,4,1,0,3,4,11,22,1,0,1,1,0,0,0,31,3,0,5,0,20,1,1,5,122586,1
51188  1,CM7,5,1188,1423,1980,963,38,5,1,0,1,5,14,22,1,0,1,0,0,0,0,31,1,0,1,0,8,1,0,4,47137,0
12  45  2,CM7,12,45,1423,1983,999,35,5,1,0,2,4,11,12,1,1,1,1,1,1,1,31,7,3,3,0,0,1,1,5,212496,1
12 149  2,CM7,12,149,1423,1993,1117,25,3,1,0,3,2,12,12,1,1,1,1,1,1,1,31,5,1,5,0,3,0,1,5,221745,1
12 160  1,CM7,12,160,1423,1979,954,39,5,1,0,3,4,71,11,1,0,1,1,0,0,1,35,2,0,5,1,0,1,1,5,273362,0
12 242  1,CM7,12,242,1423,1964,772,54,8,1,0,2,4,11,11,1,0,1,1,0,0,0,31,1,0,3,0,4,1,0,5,171874,
12 286  2,CM7,12,286,1423,1968,819,50,8,1,0,2,4,11,12,1,1,1,1,0,1,1,31,4,0,3,0,0,0,0,5,172218,
