CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
3 1  2,CD6,3,1,1364,1985,1022,28,3,1,0,2,6,14,12,1,1,1,0,0,0,0,31,5,1,4,0,3,5,267452,1
3 2  4,CD6,3,2,1364,1995,1146,18,1,1,0,2,5,11,22,1,0,1,0,0,0,0,31,6,0,3,0,2,5,263472,0
3 3  2,CD6,3,3,1364,1970,848,43,6,1,0,3,4,12,12,1,1,1,1,0,0,1,31,8,0,5,0,0,5,390168,0
3 3  3,CD6,3,3,1364,1996,1157,17,1,1,0,2,6,12,12,1,1,1,1,0,0,1,31,8,0,4,0,0,5,390168,1
3 5  2,CD6,3,5,1364,1984,1009,29,3,1,0,3,4,12,12,1,0,1,1,1,0,0,31,8,1,5,0,1,5,337050,0
3 5  3,CD6,3,5,1364,1990,1092,22,2,1,0,2,6,12,12,1,0,1,1,1,0,0,31,8,1,4,0,0,5,337050,1
3 5  4,CD6,3,5,1364,1993,1120,20,2,1,0,2,5,12,12,1,0,1,1,1,0,0,31,8,1,3,0,0,5,337050,0
3 5  5,CD6,3,5,1364,1994,1137,18,1,1,0,2,5,12,12,1,0,1,1,1,0,0,31,8,1,3,0,0,5,337050,1
3 5  6,CD6,3,5,1364,1997,1168,16,1,1,0,2,3,12,12,1,0,1,1,1,0,0,31,8,1,3,0,0,5,337050,1
3 6  2,CD6,3,6,1364,1979,959,33,4,1,0,2,5,12,22,1,1,1,0,0,0,0,31,4,0,3,0,0,5,236018,1
3 7  2,CD6,3,7,1364,1996,1153,17,1,1,0,2,3,12,22,1,0,1,0,0,0,0,31,3,1,3,0,0,5,223542,1
3 8  2,CD6,3,8,1364,1973,885,39,5,1,0,2,6,12,22,1,1,1,1,0,0,1,31,9,0,4,0,0,5,324425,1
