CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
6   7  2,ZA7,6,7,1399,1992,1112,23,2,1,0,3,2,11,11,1,1,1,1,0,0,1,34,4,1,5,0,1,1,1,5,142399,1
6  19  2,ZA7,6,19,1399,1998,1181,18,1,1,0,2,3,11,11,1,1,1,1,0,0,1,33,3,0,3,0,1,0,1,5,106242,1
6  19  3,ZA7,6,19,1399,1994,1135,22,2,1,0,2,5,97,97,7,7,7,7,7,7,7,97,3,0,4,7,1,1,1,5,106242,1
6  20  2,ZA7,6,20,1399,1978,941,38,5,1,0,2,5,11,11,1,0,1,1,0,0,1,34,4,1,4,0,3,1,1,4,93212,1
6  24  7,ZA7,6,24,1399,1991,1100,24,2,1,0,2,5,11,11,1,1,1,1,0,0,1,34,8,1,4,0,0,1,1,5,138636,1
6  40  1,ZA7,6,40,1399,1977,932,38,5,1,0,2,2,11,11,1,0,1,1,1,1,0,34,4,0,3,0,3,1,0,5,133750,1
6  61  3,ZA7,6,61,1399,1997,1168,19,1,1,0,2,3,11,11,1,1,1,1,0,0,0,33,4,0,3,0,1,0,1,5,115773,0
6  63  1,ZA7,6,63,1399,1967,815,48,7,1,0,3,2,11,11,1,0,1,1,0,0,0,34,4,0,5,0,0,1,1,5,122863,0
6  63  4,ZA7,6,63,1399,1993,1120,23,2,1,0,3,2,11,11,1,0,1,1,0,0,0,34,4,0,5,0,0,1,1,5,122863,0
6  68  5,ZA7,6,68,1399,1992,1109,24,2,1,0,3,4,11,11,1,1,1,1,0,0,1,34,5,0,5,0,2,1,1,5,149464,0
6  74  2,ZA7,6,74,1399,1983,999,33,4,1,0,2,5,12,11,1,0,1,1,0,0,0,34,2,0,4,0,4,1,1,3,41953,1
6  76  3,ZA7,6,76,1402,1996,1161,20,2,1,0,2,5,11,11,1,0,1,1,0,0,1,31,4,0,4,0,0,1,1,5,115904,0
6  94  2,ZA7,6,94,1399,1974,894,42,6,1,0,2,4,12,11,1,1,1,1,1,1,1,33,10,2,3,0,5,1,0,5,139179,1
6  94  3,ZA7,6,94,1399,1980,971,35,5,1,0,2,4,12,11,1,1,1,1,1,1,1,33,10,2,3,0,0,0,0,5,139179,0
6  95  2,ZA7,6,95,1399,1992,1107,24,2,1,0,3,2,12,11,1,1,1,1,0,0,1,34,3,1,5,0,0,1,1,4,100652,1
13   7  2,ZA7,13,7,1400,1974,896,42,6,1,0,2,1,14,23,0,0,0,0,0,0,1,31,7,0,3,0,0,0,0,1,-145104,1
