CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
03640101 01,CO5,364,101,1329,1967,808,43,6,1,0,2,3,11,11,1,1,1,1,1,1,0,,3,0,3,1,,4,85550,1
03640101 03,CO5,364,101,1328,1990,1087,20,2,1,0,2,6,11,11,1,1,1,1,1,1,0,,3,0,4,1,,4,85550,1
03640201 02,CO5,364,201,1328,1979,958,30,4,1,0,3,3,11,11,1,1,1,1,0,0,0,,4,1,5,0,,3,54442,1
03640301 03,CO5,364,301,1329,1971,854,39,5,1,0,3,2,11,11,1,1,1,1,1,0,0,,6,1,5,1,,5,101035,1
03640401 01,CO5,364,401,1328,1961,740,49,7,1,0,1,2,11,11,1,1,1,1,1,0,0,,3,0,1,0,,4,90813,0
03640401 02,CO5,364,401,1328,1993,1126,16,1,1,0,2,4,11,11,1,1,1,1,1,0,0,,3,0,3,0,,4,90813,0
03640501 02,CO5,364,501,1328,1981,984,28,3,1,0,2,5,11,11,1,1,1,1,1,0,0,,7,1,3,1,,4,86087,0
03640601 02,CO5,364,601,1328,1981,980,29,3,1,0,2,6,11,11,1,1,1,1,0,0,0,,5,1,4,0,,3,70961,1
03640602 03,CO5,364,602,1328,1984,1010,26,3,1,0,2,6,11,11,1,0,1,0,0,0,0,,5,0,4,0,,2,12108,0
03640801 02,CO5,364,801,1328,1977,927,33,4,1,0,2,6,11,11,1,1,1,0,1,0,0,,4,0,4,0,,3,46225,1
03640801 03,CO5,364,801,1328,1995,1144,15,1,1,0,2,2,11,11,1,1,1,0,1,0,0,,4,0,3,0,,3,46225,1
03640802 02,CO5,364,802,1328,1980,969,29,3,1,0,2,6,11,11,1,0,1,1,1,0,0,,4,1,4,0,,2,33144,1
03640901 04,CO5,364,901,1328,1978,943,32,4,1,0,2,6,11,11,1,1,1,1,1,0,0,,6,1,4,1,,5,98144,1
03641001 03,CO5,364,1001,1329,1997,1171,13,0,1,0,2,1,11,11,1,1,1,1,0,0,0,,3,0,3,0,,4,90290,1
03650901 02,CO5,365,901,1331,1967,805,43,6,1,0,3,3,11,11,1,1,1,1,0,1,1,,3,0,5,1,,5,129389,1
03651101 01,CO5,365,1101,1331,1981,979,29,3,1,0,3,1,11,11,1,1,1,1,1,0,0,,3,1,5,1,,5,110567,1
03680201 03,CO5,368,201,1328,1982,993,27,3,1,0,3,5,11,11,1,1,1,1,1,0,1,,8,0,5,1,,5,119060,1
03680201 05,CO5,368,201,1328,1970,849,39,5,1,0,3,5,11,11,1,1,1,1,1,0,1,,8,0,5,1,,5,119060,0
03680801 02,CO5,368,801,1328,1964,772,46,7,1,0,2,3,11,11,1,1,1,1,0,1,0,,4,0,3,1,,5,103932,1
03680801 03,CO5,368,801,1328,1989,1080,20,2,1,0,3,2,11,11,1,1,1,1,0,1,0,,4,0,5,1,,5,103932,1
03681001 02,CO5,368,1001,1328,1967,814,42,6,1,0,3,5,11,11,1,1,1,1,0,0,1,,4,0,5,0,,5,98834,0
03681001 03,CO5,368,1001,1328,1991,1095,19,1,1,0,2,6,11,11,1,1,1,1,0,0,1,,4,0,4,0,,5,98834,1
03681001 04,CO5,368,1001,1328,1993,1117,17,1,1,0,2,5,11,11,1,1,1,1,0,0,1,,4,0,3,0,,5,98834,1
03690101 03,CO5,369,101,1329,1975,908,35,5,1,0,2,6,11,11,1,1,1,1,0,0,1,,3,0,4,1,,5,140864,0
03690201 01,CO5,369,201,1329,1964,771,46,7,1,0,3,4,11,11,1,1,1,1,0,0,0,,2,0,5,1,,5,126313,1
03690601 02,CO5,369,601,1329,1979,959,30,4,1,0,3,8,11,11,1,1,1,1,0,0,0,,2,0,5,0,,5,113144,1
03690701 02,CO5,369,701,1329,1977,931,33,4,1,0,3,6,11,11,1,1,1,1,1,0,1,,4,2,5,1,,5,132913,1
03690901 02,CO5,369,901,1329,1978,947,31,4,1,0,3,5,11,11,1,1,1,1,0,0,1,,3,1,5,0,,5,122168,0
03720101 02,CO5,372,101,1328,1985,1022,25,3,1,0,3,2,11,11,1,1,1,1,0,0,1,,5,1,5,1,,5,105703,0
03720201 02,CO5,372,201,1328,1968,824,42,6,1,0,3,5,11,11,1,1,1,1,1,0,0,,4,0,5,1,,4,96769,1
03720201 03,CO5,372,201,1328,1995,1145,15,1,1,0,2,4,11,11,1,1,1,1,1,0,0,,4,0,3,1,,4,96769,1
03720601 02,CO5,372,601,1328,1967,813,42,6,1,0,3,3,11,11,1,1,1,1,0,0,0,,7,0,5,1,,4,82700,1
03720601 03,CO5,372,601,1328,1992,1113,17,1,1,0,2,6,11,11,1,1,1,1,0,0,0,,7,0,4,1,,4,82700,1
03720801 03,CO5,372,801,1328,1983,1004,27,3,1,0,3,5,11,11,1,1,1,1,1,0,1,,9,0,5,1,,5,117685,1
03720801 05,CO5,372,801,1328,1974,890,36,5,1,0,1,4,11,11,1,1,1,1,1,0,1,,9,0,1,1,,5,117685,0
03720801 08,CO5,372,801,1328,1968,819,42,6,1,0,3,2,11,11,1,1,1,1,1,0,1,,9,0,5,1,,5,117685,1
03720801 09,CO5,372,801,1328,1995,1143,15,1,1,0,2,4,11,11,1,1,1,1,1,0,1,,9,0,3,1,,5,117685,1
03720901 02,CO5,372,901,1328,1968,821,42,6,1,0,1,5,11,11,1,1,1,1,0,0,0,,5,0,2,1,,3,63433,1
03720901 04,CO5,372,901,1328,1996,1156,14,0,1,0,2,3,11,11,1,1,1,1,0,0,0,,5,0,3,1,,3,63433,1
03721001 04,CO5,372,1001,1328,1982,985,28,3,1,0,3,3,11,11,1,1,1,1,0,1,1,,7,1,5,1,,5,123331,1
03721001 06,CO5,372,1001,1328,1995,1141,15,1,1,0,2,1,11,11,1,1,1,1,0,1,1,,7,1,3,1,,5,123331,0
03721101 02,CO5,372,1101,1328,1964,772,46,7,1,0,2,6,11,11,1,1,1,1,0,0,1,,3,0,4,0,,5,97884,1
03721101 03,CO5,372,1101,1328,1993,1117,17,1,1,0,2,6,11,11,1,1,1,1,0,0,1,,3,0,4,0,,5,97884,1
03730101 02,CO5,373,101,1327,1971,853,39,5,1,0,2,6,11,11,1,0,1,1,1,0,0,,5,0,4,0,,3,55193,1
03730101 03,CO5,373,101,1327,1994,1138,15,1,1,0,2,4,11,11,1,0,1,1,1,0,0,,5,0,3,0,,3,55193,0
03730201 01,CO5,373,201,1327,1976,914,34,4,1,0,2,3,11,11,1,1,1,0,0,0,0,,4,1,3,0,,3,53572,1
03730201 02,CO5,373,201,1327,1993,1121,17,1,1,0,2,5,11,11,1,1,1,0,0,0,0,,4,1,3,0,,3,53572,0
03730301 02,CO5,373,301,1327,1969,839,40,6,1,0,2,6,11,11,1,1,1,1,1,0,1,,4,0,4,0,,4,79078,1
03730301 03,CO5,373,301,1327,1990,1092,19,1,1,0,3,1,11,11,1,1,1,1,1,0,1,,4,0,5,0,,4,79078,1
03730501 03,CO5,373,501,1327,1973,882,37,5,1,0,2,6,11,11,1,1,1,1,1,0,0,,6,1,4,1,,5,98144,0
03730601 02,CO5,373,601,1327,1971,856,39,5,1,0,2,6,11,12,1,1,1,1,0,0,0,,4,0,4,0,,2,3661,1
03730901 02,CO5,373,901,1327,1964,771,46,7,1,0,2,6,11,11,1,1,1,1,0,0,0,,3,0,4,0,,4,88916,0
03731001 01,CO5,373,1001,1327,1965,784,45,7,1,0,2,4,11,11,1,1,1,1,0,0,0,,5,0,3,1,,5,99138,1
03731001 02,CO5,373,1001,1327,1990,1090,19,1,1,0,3,1,11,11,1,1,1,1,0,0,0,,5,0,5,1,,5,99138,1
03731001 03,CO5,373,1001,1327,1962,746,48,7,1,0,2,6,11,11,1,1,1,1,0,0,0,,5,0,4,1,,5,99138,0
03731001 05,CO5,373,1001,1327,1987,1053,22,2,1,0,3,2,11,11,1,1,1,1,0,0,0,,5,0,5,1,,5,99138,1
03731101 04,CO5,373,1101,1327,1980,963,30,4,1,0,3,3,11,11,1,0,1,1,0,0,1,,6,1,5,0,,3,73828,1
03731201 04,CO5,373,1201,1327,1975,908,34,4,1,0,1,5,11,12,1,0,1,0,0,0,0,,6,0,2,0,,2,-16745,0
03731201 05,CO5,373,1201,1327,1994,1137,15,1,1,0,2,2,11,12,1,0,1,0,0,0,0,,6,0,3,0,,2,-16745,0
03740401 03,CO5,374,401,1328,1988,1063,22,2,1,0,3,3,11,11,1,1,1,1,0,0,0,,3,0,5,1,,5,112991,1
