CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
074955  2,DR6,749,55,1363,1989,1077,23,2,1,0,3,2,71,11,1,0,1,1,0,1,0,21,2,0,5,,20,3,23634,
0749 1  2,DR6,749,1,1363,1990,1083,23,2,1,0,3,0,71,11,1,0,1,1,0,1,0,31,4,1,5,,0,5,112545,
074915  1,DR6,749,15,1363,1977,925,36,5,1,0,2,1,71,11,1,1,1,1,0,0,1,31,4,0,3,,12,5,185847,
074980  2,DR6,749,80,1363,1969,834,44,6,1,0,2,1,62,11,1,1,1,1,0,0,1,31,6,0,3,,0,5,148987,
074992  2,DR6,749,92,1363,1988,1067,24,2,1,0,1,3,71,11,1,0,1,0,0,0,0,21,4,1,1,,1,1,-75640,
074943  1,DR6,749,43,1363,1976,924,36,5,1,0,1,8,71,11,1,0,1,1,0,0,1,21,7,0,2,,0,3,48895,
074943  4,DR6,749,43,1363,1998,1178,15,1,1,0,1,7,71,11,1,0,1,1,0,0,1,21,7,0,1,,1,3,48895,
074975  2,DR6,749,75,1363,1983,1006,29,3,1,0,3,3,71,11,1,1,1,0,0,0,0,31,2,0,5,,0,4,60239,
074984  1,DR6,749,84,1363,1982,989,31,4,1,0,2,3,71,11,1,1,1,1,0,1,0,21,5,1,3,,1,4,57811,
074976  1,DR6,749,76,1363,1971,857,42,6,1,0,1,8,71,11,1,0,1,1,0,0,0,21,5,0,2,,2,2,-33081,
074976  3,DR6,749,76,1363,1996,1164,16,1,1,0,2,3,71,11,1,0,1,1,0,0,0,21,5,0,3,,0,2,-33081,
074938  2,DR6,749,38,1363,1976,924,36,5,1,0,3,1,71,11,1,0,1,1,1,0,0,21,5,1,5,,0,4,73195,
074938  3,DR6,749,38,1363,1996,1164,16,1,1,0,2,3,71,11,1,0,1,1,1,0,0,21,5,1,3,,0,4,73195,
074944  2,DR6,749,44,1363,1975,909,37,5,1,0,1,7,61,11,1,0,1,1,0,0,0,21,4,1,1,,2,3,18101,
074923  4,DR6,749,23,1363,1992,1111,21,2,1,0,2,4,62,22,1,0,1,1,0,0,1,21,7,1,4,,0,2,1008,
074963  1,DR6,749,63,1363,1987,1049,26,3,1,0,2,4,71,11,1,0,0,1,0,0,0,21,4,1,4,,3,3,7685,
074929  2,DR6,749,29,1363,1996,1163,16,1,1,0,2,2,71,11,1,0,0,0,,,,31,2,0,3,,7,3,35510,
0749 8  1,DR6,749,8,1363,1988,1066,24,2,1,0,2,1,71,11,1,0,1,1,0,0,0,21,3,1,3,,0,2,-21491,
074978  1,DR6,749,78,1363,1964,769,49,7,1,0,1,2,71,11,1,1,1,1,0,0,0,31,1,0,1,,0,4,82818,
074960  2,DR6,749,60,1363,1964,776,48,7,1,0,1,4,71,11,1,1,1,0,0,0,0,21,11,3,1,,0,2,-17937,
074960  3,DR6,749,60,1363,1991,1099,22,2,1,0,3,1,71,11,1,1,1,0,0,0,0,21,11,3,5,,0,2,-17937,
074960  4,DR6,749,60,1363,1992,1115,20,2,1,0,1,7,71,11,1,1,1,0,0,0,0,21,11,3,1,,0,2,-17937,
074957  2,DR6,749,57,1363,1985,1023,28,3,1,0,1,6,71,22,1,0,1,0,0,0,0,21,2,0,1,,0,1,-68509,
158896  1,DR6,1588,96,1363,1975,908,37,5,1,0,1,4,71,11,1,0,1,0,0,0,0,21,6,1,1,,0,2,-12074,
158845  1,DR6,1588,45,1363,1968,824,44,6,1,0,1,6,71,11,1,1,1,1,0,0,0,21,6,0,1,,0,3,44037,
158847  2,DR6,1588,47,1363,1977,936,35,5,1,0,1,2,71,23,1,0,0,0,0,0,0,21,4,1,1,,0,1,-56884,
158816  2,DR6,1588,16,1363,1979,955,34,4,1,0,2,3,71,11,1,1,1,1,0,1,1,21,4,1,3,,1,4,54768,
158816  3,DR6,1588,16,1363,1998,1177,15,1,1,0,2,1,71,11,1,1,1,1,0,1,1,21,4,1,3,,2,4,54768,
158878  1,DR6,1588,78,1363,1990,1085,23,2,1,0,2,1,71,11,1,0,1,0,0,0,0,21,4,2,3,,0,1,-77465,
158884  2,DR6,1588,84,1363,1980,961,33,4,1,0,1,6,71,22,1,0,1,1,0,0,0,21,3,0,1,,0,2,-42876,
158818  1,DR6,1588,18,1363,1972,871,41,6,1,0,1,2,71,22,1,0,1,1,0,0,0,21,3,0,1,,2,2,-45149,
158885  1,DR6,1588,85,1363,1968,818,45,7,1,0,1,2,62,11,1,1,1,1,0,0,0,21,2,0,1,,0,2,-1690,
158833  1,DR6,1588,33,1363,1970,845,43,6,1,0,1,6,11,11,1,0,0,0,0,0,0,21,5,2,1,,0,1,-179493,
158833  2,DR6,1588,33,1363,1998,1177,15,1,1,0,1,3,11,11,1,0,0,0,0,0,0,21,5,2,1,,2,1,-179493,
1588 6  2,DR6,1588,6,1363,1989,1079,23,2,1,0,1,7,71,11,1,0,0,0,0,0,0,21,5,2,1,,0,1,-67808,
1588 9  2,DR6,1588,9,1363,1982,992,30,4,1,0,3,2,71,11,1,1,1,1,0,0,1,31,5,2,5,,3,5,121539,
158825  1,DR6,1588,25,1363,1980,972,32,4,1,0,1,6,71,11,1,0,1,1,0,1,0,21,4,0,1,,4,2,3628,
158865  1,DR6,1588,65,1363,1964,777,48,7,1,0,2,1,62,11,1,0,1,1,0,0,0,21,4,0,3,,0,3,36438,
158877  2,DR6,1588,77,1363,1980,967,33,4,1,0,3,2,71,11,1,0,1,1,0,1,0,21,2,0,5,,2,3,8248,
158886  2,DR6,1588,86,1363,1992,1116,20,2,1,0,1,2,71,11,1,0,0,0,0,0,0,21,5,1,1,,2,1,-180007,
158859  2,DR6,1588,59,1363,1981,977,32,4,1,0,1,7,71,11,1,0,1,0,0,0,0,21,8,2,1,,1,1,-157936,
158842  2,DR6,1588,42,1363,1984,1020,28,3,1,0,2,4,71,11,1,1,1,1,0,0,1,21,4,1,4,,0,2,2798,
158835  2,DR6,1588,35,1363,1975,908,37,5,1,0,3,4,71,11,1,1,1,1,0,0,0,31,4,0,5,,1,4,90140,
028827  2,DR6,288,27,1363,1979,953,34,4,1,0,3,4,71,11,1,1,1,1,1,0,1,31,6,1,5,,0,5,205692,
028892  1,DR6,288,92,1363,1965,783,48,7,1,0,3,5,71,11,1,1,1,1,0,0,1,31,1,0,5,,3,5,162874,
028811  4,DR6,288,11,1366,1997,1167,16,1,1,0,2,3,71,11,1,1,1,1,0,0,1,31,9,0,3,,0,4,76957,
028812  1,DR6,288,12,1363,1967,808,46,7,1,0,3,4,71,11,1,0,1,1,0,0,1,31,2,0,5,,0,4,94847,
028830  1,DR6,288,30,1363,1967,809,46,7,1,0,2,4,71,11,1,1,1,1,0,0,0,31,4,0,4,,0,3,43306,
028849  3,DR6,288,49,1363,1970,844,43,6,1,0,2,2,71,11,1,0,1,1,0,0,0,31,5,0,3,,0,4,83292,
