CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
1 1  1,GU6,1,1,1385,1970,851,44,6,1,0,3,5,71,11,1,1,1,1,0,0,0,33,3,0,5,0,,4,84665,0
1 1  2,GU6,1,1,1385,1997,1167,18,1,1,0,2,4,71,11,1,1,1,1,0,0,0,33,3,0,3,0,,4,84665,1
1 4  4,GU6,1,4,1386,1995,1144,20,2,1,0,3,1,71,11,1,1,1,1,0,0,0,32,5,0,5,0,,5,187960,0
1 5  2,GU6,1,5,1385,1974,900,40,6,1,0,2,4,71,11,1,1,1,1,1,0,0,33,4,1,3,0,,5,94718,1
1 6  2,GU6,1,6,1386,1988,1065,26,3,1,0,2,3,71,11,1,1,1,0,0,0,0,23,2,0,3,0,,4,51073,0
1 7  2,GU6,1,7,1385,1973,888,41,6,1,0,3,6,71,11,1,1,1,1,1,0,1,31,3,0,5,1,,5,202278,1
112  3,GU6,1,12,1385,1987,1053,27,3,1,0,2,6,11,11,1,1,1,1,0,0,1,32,7,1,4,1,,5,181351,1
113  2,GU6,1,13,1385,1973,877,42,6,1,0,0,,71,11,1,0,1,1,0,0,0,32,2,0,0,1,,5,160341,0
114  3,GU6,1,14,1385,1989,1076,25,3,1,0,3,6,71,11,1,1,1,1,1,0,1,32,5,0,5,1,,5,197455,0
116  2,GU6,1,16,1385,1968,818,47,7,1,0,3,4,71,11,1,1,1,1,1,0,1,32,3,0,5,0,,5,189244,1
117  2,GU6,1,17,1385,1979,950,36,5,1,0,3,5,71,11,1,1,1,1,1,1,1,32,4,2,5,1,,5,238337,1
118  2,GU6,1,18,1386,1988,1061,27,3,1,0,3,6,71,11,1,1,1,1,0,0,1,32,5,1,5,0,,5,213506,1
119  2,GU6,1,19,1386,1968,818,47,7,1,0,2,5,71,11,1,1,1,1,0,0,1,32,5,1,3,0,,5,141680,1
119  3,GU6,1,19,1386,1987,1048,28,3,1,0,2,6,71,11,1,1,1,1,0,0,1,32,5,1,4,0,,5,141680,1
121  3,GU6,1,21,1386,1981,981,33,4,1,0,3,6,71,11,1,1,1,1,0,0,1,32,5,0,5,1,,5,217857,1
121  4,GU6,1,21,1386,1988,1068,26,3,1,0,3,6,71,11,1,1,1,1,0,0,1,32,5,0,5,1,,5,217857,1
2 1  2,GU6,2,1,1385,1973,887,41,6,1,0,1,6,71,11,1,1,1,1,1,0,1,34,8,1,2,0,,4,60033,1
2 1  3,GU6,2,1,1385,1995,1146,19,1,1,0,2,6,71,11,1,1,1,1,1,0,1,34,8,1,4,0,,4,60033,0
2 2  2,GU6,2,2,1386,1970,841,45,7,1,0,2,6,71,11,1,1,1,1,0,1,1,32,6,0,4,0,,5,128400,1
2 2  3,GU6,2,2,1385,1991,1099,23,2,1,0,3,2,71,11,1,1,1,1,0,1,1,32,6,0,5,0,,5,128400,1
2 3  2,GU6,2,3,1385,1975,905,40,6,1,0,1,6,71,13,1,1,1,1,0,0,0,32,4,0,2,0,,5,117524,1
2 3  3,GU6,2,3,1385,1996,1154,19,1,1,0,2,6,71,13,1,1,1,1,0,0,0,32,4,0,4,0,,5,117524,0
