CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
2   2  1,HT7,2,2,1404,1993,1118,23,2,1,0,2,7,72,22,1,1,1,0,0,0,0,33,2,1,4,0,0,1,1,5,173007,0
2   9  2,HT7,2,9,1404,1994,1130,22,2,1,0,2,7,72,12,1,1,1,0,0,0,0,33,3,1,4,0,5,1,2,5,154548,1
2  10  2,HT7,2,10,1404,1952,633,64,8,1,0,1,4,72,12,1,1,1,0,0,0,0,31,3,0,1,0,0,0,0,5,141476,
2  11  2,HT7,2,11,1404,1982,990,34,4,1,0,1,6,72,12,1,1,1,0,0,0,0,31,5,2,2,0,0,0,0,4,100661,1
2  16  1,HT7,2,16,1404,1991,1096,25,3,1,0,2,6,72,13,1,1,1,0,0,0,0,33,4,1,3,0,3,0,1,5,135569,0
2  16  3,HT7,2,16,1404,1994,1133,22,2,1,0,2,5,72,13,1,1,1,0,0,0,0,33,4,1,3,0,6,0,1,5,135569,0
2  16  4,HT7,2,16,1404,1995,1151,21,2,1,0,2,6,72,13,1,1,1,0,0,0,0,33,4,1,3,0,0,0,1,5,135569,1
2  21  1,HT7,2,21,1404,1984,1018,32,4,1,0,2,6,72,12,1,0,1,1,0,0,1,31,3,0,3,0,4,1,1,5,182654,1
2  26  2,HT7,2,26,1404,1978,938,38,5,1,0,2,7,97,97,7,7,7,7,7,7,7,97,4,0,4,7,2,1,1,4,63930,1
2  34  2,HT7,2,34,1404,1978,941,38,5,1,0,2,1,72,12,1,1,1,0,0,0,0,33,7,0,3,0,2,1,1,5,200413,1
2  34  3,HT7,2,34,1404,1997,1171,19,1,1,0,2,4,72,12,1,1,1,0,0,0,0,33,7,0,3,0,4,0,1,5,200413,1
2  34  4,HT7,2,34,1404,2000,1210,16,1,1,0,2,1,72,12,1,1,1,0,0,0,0,33,7,0,3,0,0,0,0,5,200413,0
2  35  1,HT7,2,35,1404,1964,770,52,8,1,0,0,,72,22,1,1,0,0,0,0,0,23,4,0,0,0,0,0,0,4,74465,
2  35  2,HT7,2,35,1404,1993,1125,23,2,1,0,2,7,72,22,1,1,0,0,0,0,0,23,4,0,4,0,0,0,1,4,74465,1
2  44  2,HT7,2,44,1404,1984,1019,32,4,1,0,2,7,13,22,1,1,1,0,0,0,0,31,8,1,4,0,0,0,1,4,60181,0
2  44  5,HT7,2,44,1404,1992,1110,24,2,1,0,2,4,13,22,1,1,1,0,0,0,0,31,8,1,3,0,2,0,0,4,60181,1
2  48  2,HT7,2,48,1404,1977,926,39,5,1,0,0,,13,22,1,1,1,1,0,0,0,33,4,0,0,0,0,0,1,4,104597,0
2  49  1,HT7,2,49,1404,1994,1134,22,2,1,0,2,7,72,22,1,0,0,0,0,0,0,33,1,0,4,0,3,1,1,5,130389,0
