CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
0553001  3,PE6,553,1,1314,1987,1047,22,2,1,0,3,1,11,11,1,1,1,1,1,0,0,31,5,1,5,1,,5,175086,0
0553001  5,PE6,553,1,1314,1981,984,27,3,1,0,2,5,11,11,1,1,1,1,1,0,0,31,5,1,4,1,,5,175086,0
0553011  2,PE6,553,11,1314,1985,1026,24,2,1,0,2,5,11,11,1,1,1,1,0,0,0,32,4,2,4,1,,4,109723,0
0553022  2,PE6,553,22,1314,1965,788,43,6,1,0,2,4,11,11,1,1,1,1,1,0,0,32,5,0,3,0,,4,113359,0
0553032  4,PE6,553,32,1314,1962,745,47,7,1,0,2,3,11,11,1,1,1,1,0,0,0,31,5,1,3,1,,4,104847,1
0553052  2,PE6,553,52,1314,1990,1092,18,1,1,0,2,5,11,11,1,0,1,0,1,0,0,32,3,1,4,0,,3,58020,0
0553083  2,PE6,553,83,1314,1976,917,33,4,1,0,3,3,11,11,1,1,1,1,0,0,0,31,7,2,5,1,,5,192305,1
0553083  4,PE6,553,83,1314,1978,944,30,4,1,0,2,5,11,11,1,1,1,1,0,0,0,31,7,2,4,1,,5,192305,1
0553083  6,PE6,553,83,1313,1982,988,27,3,1,0,2,5,11,11,1,1,1,1,0,0,0,31,7,2,4,1,,5,192305,1
0553093  2,PE6,553,93,1314,1971,858,38,5,1,0,3,2,11,11,1,1,1,1,1,0,0,32,3,0,5,0,,4,73399,1
0553104  2,PE6,553,104,1314,1967,816,41,6,1,0,2,5,11,11,1,1,1,1,0,0,0,31,5,0,4,1,,4,131049,0
0553114  2,PE6,553,114,1314,1967,805,42,6,1,0,2,5,11,11,1,0,1,0,0,0,0,31,3,0,4,1,,4,97506,1
0553124  1,PE6,553,124,1314,1969,838,39,5,1,0,1,3,11,11,1,0,1,0,0,0,0,31,2,0,1,0,,3,65440,0
0553145  2,PE6,553,145,1314,1983,1003,25,3,1,0,3,3,11,11,1,1,1,1,1,0,0,31,3,0,5,1,,5,162307,0
0553165  2,PE6,553,165,1314,1968,821,41,6,1,0,2,5,11,11,1,1,1,1,0,0,0,31,8,2,4,1,,5,145431,1
