CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
10706  5  2,EG6,10706,5,1373,1972,869,42,6,1,1,2,8,11,11,1,1,1,1,0,0,0,,5,1,4,1,,5,111054,
10706 15  3,EG6,10706,15,1373,1993,1120,21,2,1,1,2,6,11,11,1,0,1,1,0,0,0,,3,0,4,0,,5,99712,
10706 24  6,EG6,10706,24,1373,1990,1082,24,2,1,1,2,6,11,11,1,0,1,1,0,0,0,,8,1,4,0,,4,44508,
10706 34  2,EG6,10706,34,1373,1968,826,45,7,1,1,2,6,11,11,1,0,1,1,0,0,1,,4,0,4,1,,5,126875,
10706 62  2,EG6,10706,62,1373,1986,1043,27,3,1,1,3,4,11,11,1,0,1,1,0,0,0,,4,2,5,0,,5,109974,
10706 72  2,EG6,10706,72,1373,1978,941,36,5,1,1,2,6,11,11,1,1,1,1,0,0,0,,4,0,4,0,,5,77879,
10706 81  2,EG6,10706,81,1373,1978,946,35,5,1,1,2,6,11,11,1,0,1,1,0,0,1,,5,1,4,1,,5,146143,
10706 91  2,EG6,10706,91,1373,1968,826,45,7,1,1,2,6,11,11,1,0,1,1,0,0,0,,5,0,4,0,,5,111908,
10706110  2,EG6,10706,110,1373,1977,936,36,5,1,1,2,6,11,11,1,1,1,1,0,0,0,,16,2,4,0,,4,54816,
10706110  8,EG6,10706,110,1373,1973,879,41,6,1,1,1,5,97,97,7,7,7,7,7,7,7,,16,2,1,7,,4,54816,
10706138  2,EG6,10706,138,1373,1986,1040,27,3,1,1,2,6,11,11,1,0,1,1,0,0,0,,4,2,4,0,,5,69914,
10706148  2,EG6,10706,148,1373,1977,927,37,5,1,1,2,6,11,11,1,0,1,1,0,0,0,,6,1,4,0,,5,68946,
10706167  2,EG6,10706,167,1373,1971,853,43,6,1,1,2,3,11,11,1,0,1,1,0,0,0,,4,0,3,0,,5,76023,
11602  3  2,EG6,11602,3,1373,1976,923,37,5,1,1,3,4,11,11,1,1,1,1,0,0,0,,5,3,5,1,,5,130736,
11602 16  2,EG6,11602,16,1373,1993,1125,20,2,1,1,2,8,11,11,1,0,1,1,0,0,0,,3,1,4,0,,5,92213,
11602 29  2,EG6,11602,29,1373,1977,929,37,5,1,1,2,3,11,11,1,0,1,1,0,0,0,,5,1,3,0,,5,89998,
11602 42  2,EG6,11602,42,1373,1964,776,49,7,1,1,0,,11,11,1,0,1,1,0,0,0,,5,0,0,1,,5,80380,
11602 68  2,EG6,11602,68,1373,1970,852,43,6,1,1,2,6,11,11,1,0,1,1,0,0,1,,6,0,4,0,,5,75285,
11602107  2,EG6,11602,107,1373,1983,1005,30,4,1,1,2,2,11,11,1,0,1,1,0,0,0,,6,2,3,0,,5,97897,
11602120  2,EG6,11602,120,1373,1983,997,31,4,1,1,2,3,11,11,1,0,1,1,0,0,0,,5,2,3,0,,5,67344,
11602133  2,EG6,11602,133,1373,1986,1043,27,3,1,1,2,6,11,11,1,1,1,1,0,0,0,,4,2,4,0,,5,117799,
11602146  2,EG6,11602,146,1373,1968,820,46,7,1,1,2,6,11,11,1,0,1,1,0,0,0,,3,0,4,0,,4,58282,
