CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
11  77  2,ET7,11,77,1302,1963,764,44,6,1,0,1,8,12,23,1,1,1,1,0,0,0,31,5,0,2,1,,1,0,5,211637,1
11 129  2,ET7,11,129,1302,1975,902,33,4,1,0,2,12,12,12,1,0,1,1,1,0,1,31,5,1,4,0,,1,0,5,264593,1
11 129  5,ET7,11,129,1302,1968,821,40,6,1,0,0,,12,12,1,0,1,1,1,0,1,31,5,1,0,0,,1,0,5,264593,1
11 130  2,ET7,11,130,1302,1983,1008,24,2,1,0,3,2,12,22,1,1,1,1,0,0,0,31,7,1,5,0,,0,0,5,170878,1
11 130  7,ET7,11,130,1302,1988,1068,19,1,1,0,1,6,12,22,1,1,1,1,0,0,0,31,7,1,1,0,,0,0,5,170878,0
11 138  2,ET7,11,138,1302,1984,1012,24,2,1,0,2,11,12,12,1,1,1,1,0,0,1,31,6,3,3,0,,0,0,5,217102,1
11 138  6,ET7,11,138,1302,1991,1097,17,1,1,0,1,8,12,12,1,1,1,1,0,0,1,31,6,3,2,0,,0,0,5,217102,0
11 139  2,ET7,11,139,1302,1980,965,28,3,1,0,1,1,12,23,1,1,1,0,0,0,0,31,4,1,1,0,,0,0,5,138839,1
11 141  3,ET7,11,141,1302,1969,840,38,5,1,0,2,12,97,97,7,7,7,7,7,7,7,97,12,0,4,7,,0,1,5,272293,0
11 141  7,ET7,11,141,1302,1984,1012,24,2,1,0,3,0,12,12,1,1,1,1,0,0,1,31,12,0,5,0,,0,1,5,272293,1
11 141  8,ET7,11,141,1302,1983,1002,25,3,1,0,1,7,12,12,1,1,1,1,0,0,1,31,12,0,1,0,,0,1,5,272293,0
11 141 10,ET7,11,141,1302,1979,960,28,3,1,0,3,3,97,97,7,7,7,7,7,7,7,97,12,0,5,7,,1,1,5,272293,1
11 141 11,ET7,11,141,1302,1990,1082,18,1,1,0,1,5,12,12,1,1,1,1,0,0,1,31,12,0,1,0,,0,0,5,272293,1
11 149  2,ET7,11,149,1302,1983,998,25,3,1,0,1,4,12,22,1,1,1,0,0,0,0,31,4,1,1,0,,0,0,5,155203,1
11 149  4,ET7,11,149,1302,1992,1110,16,1,1,0,1,2,12,22,1,1,1,0,0,0,0,31,4,1,1,0,,0,0,5,155203,0
11 209  2,ET7,11,209,1302,1971,856,37,5,1,0,3,7,12,22,1,0,1,1,0,0,1,31,5,1,5,0,,1,1,5,220554,1
11 209  5,ET7,11,209,1302,1986,1033,22,2,1,0,1,2,12,22,1,0,1,1,0,0,1,31,5,1,1,0,,1,0,5,220554,0
11 211  2,ET7,11,211,1302,1982,989,26,3,1,0,2,9,12,22,1,1,1,1,0,0,0,31,4,0,3,0,,0,0,5,206430,1
11 211  3,ET7,11,211,1302,1982,985,26,3,1,0,3,3,12,22,1,1,1,1,0,0,0,31,4,0,5,0,,1,1,5,206430,1
11 214  2,ET7,11,214,1302,1966,802,41,6,1,0,1,6,12,22,1,1,1,1,0,0,0,31,6,0,1,1,,0,0,5,207716,1
11 214  4,ET7,11,214,1302,1989,1078,18,1,1,0,3,0,12,22,1,1,1,1,0,0,0,31,6,0,5,1,,0,1,5,207716,1
11 223  3,ET7,11,223,1302,1970,845,38,5,1,0,1,6,12,22,1,1,1,1,0,0,0,31,5,0,1,0,,0,0,5,174139,0
11 286  1,ET7,11,286,1302,1963,760,45,7,1,0,1,6,12,12,1,1,1,1,0,0,1,31,7,1,1,0,,0,0,5,270347,1
