CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
1635   2  1,KE8,1635,2,1470,1993,1121,29,3,1,0,3,4,11,11,1,0,1,1,0,0,0,31,1,0,5,0,,1,1,5,170791,0
1635   5  1,KE8,1635,5,1470,1994,1137,27,3,1,0,3,4,71,15,1,0,1,1,0,0,0,37,1,0,5,0,,1,1,5,187133,1
1635   9  2,KE8,1635,9,1470,1991,1095,31,4,1,0,3,4,11,12,1,1,1,0,0,0,0,31,5,2,5,0,,1,1,5,137962,1
1635  10  2,KE8,1635,10,1470,1978,941,44,6,1,0,2,4,11,14,1,1,1,1,0,0,1,31,4,0,4,0,,0,1,5,198487,
1635  12  3,KE8,1635,12,1470,2003,1244,18,1,1,0,2,4,11,11,1,1,1,1,1,1,1,31,3,0,4,0,,0,1,5,256135,0
1635  13  2,KE8,1635,13,1470,1980,967,41,6,1,0,3,4,71,11,1,1,1,1,0,0,1,31,4,1,5,1,,1,1,5,251017,0
1635  13  3,KE8,1635,13,1470,2000,1202,22,2,1,0,3,3,71,11,1,1,1,1,0,0,1,31,4,1,5,1,,1,1,5,251017,0
1635  15  2,KE8,1635,15,1470,1985,1030,36,5,1,0,2,4,71,11,1,1,1,1,1,0,0,31,5,1,4,0,,0,1,5,213062,
1635  17  2,KE8,1635,17,1470,1987,1051,34,4,1,0,2,2,71,11,1,1,1,0,1,0,0,31,5,2,3,0,,0,0,5,165145,1
1635  20  1,KE8,1635,20,1470,1989,1080,32,4,1,0,3,4,11,14,1,1,1,1,0,0,0,31,3,0,5,0,,1,1,5,217967,0
1635  21  2,KE8,1635,21,1470,1995,1152,26,3,1,0,2,4,31,11,1,1,1,0,0,0,0,31,4,2,4,0,,0,1,5,164808,
1635  23  1,KE8,1635,23,1470,1986,1033,36,5,1,0,3,1,21,15,1,0,1,0,0,0,0,31,1,0,5,0,,1,1,4,63765,1
1635  25  1,KE8,1635,25,1470,1986,1043,35,5,1,0,3,3,11,11,1,1,1,1,0,1,1,31,3,0,5,0,,0,1,5,215467,
1635  26  2,KE8,1635,26,1470,1992,1113,29,3,1,0,2,4,11,14,1,1,1,1,0,0,0,31,4,2,4,0,,1,1,5,200650,0
1635  28  2,KE8,1635,28,1470,1986,1033,36,5,1,0,3,3,11,14,1,0,1,1,0,0,0,31,6,0,5,0,,1,1,5,111109,
1635  28  6,KE8,1635,28,1470,1997,1167,25,3,1,0,2,4,11,14,1,0,1,1,0,0,0,31,6,0,4,0,,1,1,5,111109,
1635  29  2,KE8,1635,29,1470,1997,1169,25,3,1,0,2,2,71,15,1,1,1,0,1,0,0,31,4,1,3,0,,1,1,5,157351,1
1635  31  3,KE8,1635,31,1470,1992,1108,30,4,1,0,3,3,11,14,1,1,1,1,0,0,0,31,6,0,5,0,,1,1,5,195444,
1635  33  2,KE8,1635,33,1470,1984,1014,38,5,1,0,3,3,71,11,1,1,1,1,0,1,1,31,3,0,5,0,,1,1,5,210867,1
1635  34  1,KE8,1635,34,1470,1990,1082,32,4,1,0,3,4,71,11,1,1,1,1,0,0,0,31,1,0,5,0,,1,1,5,205331,
1635  37  2,KE8,1635,37,1470,1998,1184,23,2,1,0,2,4,71,14,1,1,1,0,0,0,0,31,3,1,4,0,,1,1,5,155068,
1635  39  1,KE8,1635,39,1470,1988,1067,33,4,1,0,3,4,71,11,1,0,1,1,0,0,0,31,3,1,5,0,,1,1,5,191453,0
1635  39  2,KE8,1635,39,1470,1998,1180,24,2,1,0,1,8,71,11,1,0,1,1,0,0,0,31,3,1,2,0,,0,0,5,191453,0
1636   3  2,KE8,1636,3,1470,2003,1246,18,1,1,0,2,2,14,11,1,1,1,0,0,0,0,31,4,1,3,0,,0,1,5,121095,
1636   4  2,KE8,1636,4,1470,2003,1244,18,1,1,0,2,4,14,11,1,0,0,0,0,0,0,31,3,1,4,0,,0,0,3,898,0
1636  11  2,KE8,1636,11,1470,1990,1092,31,4,1,0,3,2,14,11,1,1,1,0,0,0,0,31,3,0,5,0,,0,0,5,101396,1
1636  12  3,KE8,1636,12,1470,2000,1207,21,2,1,0,3,3,14,11,1,1,1,1,0,0,0,35,5,0,5,0,,1,1,5,187391,
1636  15  2,KE8,1636,15,1470,1980,969,41,6,1,0,1,6,14,11,1,1,1,0,0,0,0,31,6,1,1,0,,0,0,4,94096,
1636  15  6,KE8,1636,15,1470,2000,1212,21,2,1,0,2,4,97,97,7,7,7,7,7,7,7,97,6,1,4,7,,0,1,4,94096,
1636  20  2,KE8,1636,20,1470,1992,1113,29,3,1,0,1,8,12,11,1,0,1,1,0,0,0,31,3,0,2,0,,0,1,5,141496,0
1636  22  1,KE8,1636,22,1470,2001,1220,20,2,1,0,3,2,71,11,1,0,0,0,0,0,0,31,1,0,5,0,,1,1,4,98627,
1636  23  1,KE8,1636,23,1470,1996,1161,25,3,1,0,3,3,71,11,1,0,1,0,0,0,0,35,3,1,5,0,,1,1,5,118456,0
1636  23  3,KE8,1636,23,1470,1990,1084,32,4,1,0,1,6,71,11,1,0,1,0,0,0,0,35,3,1,1,0,,0,0,5,118456,0
1636  25  2,KE8,1636,25,1470,1981,983,40,6,1,0,2,2,71,11,1,1,1,0,0,0,0,35,4,1,3,0,,1,1,5,193845,
1636  27  2,KE8,1636,27,1470,1994,1133,28,3,1,0,2,4,14,11,1,1,1,0,0,0,0,31,3,1,4,0,,0,1,5,131934,0
1636  31  1,KE8,1636,31,1470,1990,1082,32,4,1,0,1,8,14,11,1,1,1,1,0,0,0,31,3,0,2,0,,0,1,5,112426,
1636  33  1,KE8,1636,33,1470,1992,1107,30,4,1,0,2,2,14,11,1,1,1,0,0,0,0,31,3,0,3,0,,1,1,4,99266,0
1636  35  1,KE8,1636,35,1470,1982,992,39,5,1,0,2,4,71,11,1,1,1,1,0,0,0,35,1,0,4,0,,1,1,5,212288,
1636  39  1,KE8,1636,39,1470,1978,939,44,6,1,0,1,8,14,11,1,1,1,0,0,0,0,31,7,2,2,0,,1,1,4,93337,0
1636  39  2,KE8,1636,39,1470,2001,1220,20,2,1,0,2,3,14,11,1,1,1,0,0,0,0,31,7,2,3,0,,1,1,4,93337,1
