CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
1  10  2,MD7,1,10,1455,1991,1101,29,3,1,0,1,4,14,31,0,1,1,1,0,0,0,31,6,1,1,0,,1,0,4,75567,0
1  10  5,MD7,1,10,1455,2006,1274,15,1,1,0,1,4,14,31,0,1,1,1,0,0,0,31,6,1,1,0,,0,0,4,75567,1
1  16  1,MD7,1,16,1455,1996,1155,25,3,1,0,2,4,14,31,1,1,1,0,0,0,0,31,4,1,3,0,,0,0,4,75231,1
1  23  2,MD7,1,23,1455,1990,1092,30,4,1,0,1,5,14,31,1,0,1,0,0,0,0,31,5,2,2,0,,0,2,5,94342,1
1  30  2,MD7,1,30,1455,2001,1224,19,1,1,0,0,,14,23,1,1,1,0,0,0,0,31,4,0,0,0,,0,0,4,82391,1
1  45  2,MD7,1,45,1455,1995,1145,25,3,1,0,1,5,14,31,1,1,1,0,0,0,0,31,4,0,2,0,,0,0,4,61647,0
1  52  2,MD7,1,52,1455,1990,1087,30,4,1,0,1,4,14,31,1,1,0,0,0,0,0,31,5,1,1,0,,0,0,4,70571,0
1  66  2,MD7,1,66,1455,1977,935,43,6,1,0,2,3,14,31,1,0,1,0,0,0,0,31,8,2,3,0,,0,0,4,34991,1
1  81  1,MD7,1,81,1455,1977,936,43,6,1,0,1,5,14,31,1,0,0,0,0,0,0,31,5,1,2,0,,0,0,4,9395,0
1  88  2,MD7,1,88,1455,1989,1073,31,4,1,0,1,5,14,12,1,0,1,0,0,0,0,31,4,1,2,0,,0,0,5,120189,0
1  88  3,MD7,1,88,1455,2005,1262,16,1,1,0,1,3,14,12,1,0,1,0,0,0,0,31,4,1,1,0,,0,0,5,120189,0
1  95  2,MD7,1,95,1455,2003,1245,17,1,1,0,2,1,14,31,1,1,1,0,0,0,0,31,2,0,3,0,,0,1,5,124708,1
1 102  1,MD7,1,102,1455,1977,930,43,6,1,0,1,1,14,31,1,1,1,0,0,0,0,31,5,1,1,0,,0,0,5,89214,0
1 102  3,MD7,1,102,1455,2004,1256,16,1,1,0,2,3,14,31,1,1,1,0,0,0,0,31,5,1,3,0,,0,1,5,89214,0
1 110  2,MD7,1,110,1455,1990,1086,30,4,1,0,1,4,14,22,1,1,1,0,0,0,0,31,7,1,1,0,,0,2,5,167061,1
1 110  3,MD7,1,110,1455,2005,1268,15,1,1,0,2,3,14,22,1,1,1,0,0,0,0,31,7,1,3,0,,0,1,5,167061,0
1 117  2,MD7,1,117,1455,1990,1090,30,4,1,0,1,3,14,12,1,0,1,0,0,0,0,31,4,0,1,0,,0,0,5,99987,0
1 131  2,MD7,1,131,1455,2000,1209,20,2,1,0,2,3,14,31,1,1,1,0,0,0,0,31,2,0,3,0,,1,2,5,116345,1
1 138  2,MD7,1,138,1455,1980,969,40,6,1,0,3,3,12,12,1,1,1,1,0,0,0,31,5,1,5,0,,0,1,5,183739,1
1 146  3,MD7,1,146,1455,1980,961,41,6,1,0,1,4,14,31,1,0,1,0,0,0,0,31,9,1,1,0,,0,0,4,26170,0
1 146  5,MD7,1,146,1455,2001,1224,19,1,1,0,2,4,14,31,1,0,1,0,0,0,0,31,9,1,3,0,,0,1,4,26170,0
1 153  2,MD7,1,153,1455,1988,1058,33,4,1,0,1,4,14,31,1,1,1,0,0,0,0,31,5,2,1,0,,0,0,4,61720,0
1 160  2,MD7,1,160,1455,1980,972,40,6,1,0,2,0,14,31,1,1,1,0,0,0,0,31,4,0,3,0,,0,0,5,138396,1
1 160  3,MD7,1,160,1455,2004,1260,16,1,1,0,2,0,14,31,1,1,1,0,0,0,0,31,4,0,3,0,,0,0,5,138396,0
1 167  2,MD7,1,167,1455,2001,1217,19,1,1,0,1,3,14,31,0,0,0,0,0,0,0,31,2,0,1,0,,0,0,3,-19663,1
1 182  2,MD7,1,182,1455,1981,979,39,5,1,0,1,4,14,31,0,0,1,0,0,0,0,31,5,1,1,0,,0,0,4,61607,0
1 196  2,MD7,1,196,1455,1978,943,42,6,1,0,0,,14,23,1,0,1,0,0,0,0,31,7,1,0,0,,0,0,5,102395,1
1 203  2,MD7,1,203,1455,1985,1021,36,5,1,0,0,,14,31,1,0,1,0,0,0,0,31,6,1,0,0,,0,0,4,37536,1
1 203  3,MD7,1,203,1455,2000,1203,21,2,1,0,2,4,14,31,1,0,1,0,0,0,0,31,6,1,3,0,,0,2,4,37536,0
1 218  1,MD7,1,218,1455,1971,860,49,7,1,0,1,5,14,31,1,1,1,0,0,0,0,31,3,0,2,0,,0,0,5,112639,0
1 218  2,MD7,1,218,1455,2000,1211,20,2,1,0,2,7,14,31,1,1,1,0,0,0,0,31,3,0,4,0,,0,1,5,112639,1
1 232  2,MD7,1,232,1455,1993,1127,27,3,1,0,1,4,14,31,0,0,0,0,0,0,0,31,3,0,1,0,,0,0,4,9090,0
2  11  2,MD7,2,11,1455,1991,1095,30,4,1,0,1,4,14,23,1,1,1,0,0,0,0,31,7,2,1,0,,0,0,5,114566,0
2  24  2,MD7,2,24,1455,2000,1210,20,2,1,0,2,4,14,22,1,1,1,0,0,1,0,31,3,1,3,0,,0,0,5,163633,0
2  36  2,MD7,2,36,1455,1994,1131,27,3,1,0,1,4,14,22,1,0,0,0,0,0,0,31,7,3,1,0,,0,0,4,33509,0
2  48  2,MD7,2,48,1455,1980,963,41,6,1,0,0,,14,22,0,0,0,0,1,0,0,31,9,1,0,0,,0,0,4,14530,0
2  61  2,MD7,2,61,1455,1999,1192,21,2,1,0,2,5,14,23,1,0,1,0,0,0,0,31,4,2,3,0,,0,0,4,70453,1
2  73  2,MD7,2,73,1455,1975,901,46,7,1,0,2,3,14,12,1,1,1,0,1,0,0,31,5,1,3,0,,1,1,5,181596,0
2  85  2,MD7,2,85,1455,1989,1073,31,4,1,0,1,4,14,23,1,1,1,0,1,0,0,31,6,1,1,0,,1,0,5,113898,0
2  98  1,MD7,2,98,1455,1972,875,48,7,1,0,2,6,14,22,1,1,1,0,0,0,0,31,4,0,3,0,,0,0,4,82375,1
2  98  3,MD7,2,98,1455,2004,1255,16,1,1,0,2,3,14,22,1,1,1,0,0,0,0,31,4,0,3,0,,0,1,4,82375,0
