CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
122   1  2,TZ7,122,1,1389,1985,1026,30,4,1,0,2,6,61,13,1,1,1,1,1,0,0,31,6,0,4,0,0,1,1,5,231748,1
122   1  3,TZ7,122,1,1389,1996,1159,19,1,1,0,3,1,97,97,7,7,7,7,7,7,7,97,6,0,5,7,1,1,1,5,231748,0
122   1  5,TZ7,122,1,1389,1988,1068,26,3,1,0,2,4,97,97,7,7,7,7,7,7,7,97,6,0,4,7,5,1,2,5,231748,1
122   5  2,TZ7,122,5,1389,1985,1024,30,4,1,0,1,7,13,22,1,1,0,1,1,0,0,31,3,0,2,0,1,1,0,5,158951,0
122   9  1,TZ7,122,9,1389,1982,990,33,4,1,0,1,7,13,22,1,1,1,1,0,0,0,32,4,1,2,0,0,1,0,5,154562,1
122   9  3,TZ7,122,9,1389,1989,1076,26,3,1,0,2,4,13,22,1,1,1,1,0,0,0,32,4,1,4,0,2,1,0,5,154562,1
122  13  2,TZ7,122,13,1389,1977,930,38,5,1,0,1,7,13,12,1,0,1,1,1,0,0,31,5,1,2,0,1,1,0,5,180971,1
122  15  2,TZ7,122,15,1389,1995,1149,20,2,1,0,2,4,71,12,1,1,1,1,0,0,0,31,3,0,4,0,0,0,0,5,234188,1
122  15  3,TZ7,122,15,1389,2000,1207,15,1,1,0,1,7,97,97,7,7,7,7,7,7,7,97,3,0,2,7,0,0,0,5,234188,0
122  25  2,TZ7,122,25,1389,1985,1021,30,4,1,0,1,3,61,22,1,1,1,0,0,0,0,31,4,0,1,0,2,1,0,5,167862,0
122  27  1,TZ7,122,27,1389,1989,1070,26,3,1,0,2,6,13,21,1,1,1,1,0,0,0,31,2,0,4,0,1,1,2,5,193152,0
122  29  1,TZ7,122,29,1389,1974,898,40,6,1,0,1,9,13,22,1,0,1,1,0,0,0,31,6,1,2,0,10,1,1,5,182964,1
122  29  2,TZ7,122,29,1389,1993,1127,21,2,1,0,1,7,13,22,1,0,1,1,0,0,0,31,6,1,2,0,0,1,0,5,182964,1
122  29  4,TZ7,122,29,1389,1998,1186,16,1,1,0,2,3,13,22,1,0,1,1,0,0,0,31,6,1,3,0,3,1,0,5,182964,1
122  29  5,TZ7,122,29,1389,1997,1167,18,1,1,0,2,2,13,22,1,0,1,1,0,0,0,31,6,1,3,0,0,0,0,5,182964,0
122  31  2,TZ7,122,31,1389,1982,993,33,4,1,0,2,6,13,21,1,1,1,1,0,1,0,31,6,2,4,0,1,1,1,5,223188,1
122  31  6,TZ7,122,31,1389,1997,1165,18,1,1,0,1,7,97,97,7,7,7,7,7,7,7,97,6,2,2,7,1,0,0,5,223188,1
122  33  4,TZ7,122,33,1389,1992,1105,23,2,1,0,2,5,61,22,0,1,0,0,0,0,0,31,7,1,4,0,0,1,0,5,104251,1
122  33  6,TZ7,122,33,1389,1996,1163,18,1,1,0,2,4,61,22,0,1,0,0,0,0,0,31,7,1,4,0,0,1,1,5,104251,0
122  37  2,TZ7,122,37,1389,1988,1059,27,3,1,0,2,5,61,22,0,0,0,0,0,0,0,31,3,1,4,0,2,0,0,4,70718,0
122  39  1,TZ7,122,39,1389,1977,930,38,5,1,0,1,4,13,13,0,0,0,0,0,0,0,31,1,0,1,0,1,1,0,4,73904,1
122  43  2,TZ7,122,43,1389,1976,914,39,5,1,0,2,4,13,22,1,0,0,1,0,0,0,31,6,1,4,0,0,0,0,5,120863,0
123   6  2,TZ7,123,6,1389,1989,1072,26,3,1,0,1,7,61,21,0,1,0,1,1,0,0,31,4,2,2,0,1,1,0,5,94761,0
123  10  2,TZ7,123,10,1389,1996,1158,19,1,1,0,1,2,13,22,0,0,0,0,0,0,0,31,3,1,1,0,1,0,0,4,63218,1
123  13  2,TZ7,123,13,1389,1980,968,35,5,1,0,1,7,61,22,1,1,1,0,0,0,0,31,3,1,2,0,1,0,0,5,91920,1
123  16  2,TZ7,123,16,1389,1994,1140,20,2,1,0,1,7,61,22,1,0,1,0,0,0,0,31,2,0,2,0,2,0,0,5,171924,1
123  33  5,TZ7,123,33,1389,1991,1102,23,2,1,0,2,4,13,24,0,0,0,0,0,0,0,31,5,2,4,0,1,1,0,4,58646,0
123  36  2,TZ7,123,36,1389,1988,1060,27,3,1,0,1,4,61,22,1,1,1,1,0,0,0,31,5,1,1,0,0,0,0,5,166864,1
123  39  4,TZ7,123,39,1389,2000,1206,15,1,1,0,1,7,14,22,1,1,1,0,1,0,0,31,7,1,2,0,0,0,0,5,138453,1
