CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
00010001  2,UG7,1,1,1400,1996,1161,19,1,1,0,3,2,11,11,1,0,1,1,0,0,0,31,6,0,5,0,1,0,1,5,162975,0
00010003  2,UG7,1,3,1400,1991,1099,25,3,1,0,2,2,13,22,0,1,0,0,0,0,0,31,3,1,3,0,0,0,0,5,99981,1
00010004  1,UG7,1,4,1400,1975,912,40,6,1,0,1,5,14,22,1,1,1,1,0,0,0,31,8,0,1,0,0,0,0,5,198741,0
00010004  2,UG7,1,4,1400,1995,1147,21,2,1,0,1,6,14,22,1,1,1,1,0,0,0,31,8,0,1,0,0,0,0,5,198741,1
00010004  3,UG7,1,4,1400,2000,1208,16,1,1,0,2,2,14,22,1,1,1,1,0,0,0,31,8,0,3,0,3,0,0,5,198741,1
00010004  4,UG7,1,4,1400,1998,1178,18,1,1,0,2,4,14,22,1,1,1,1,0,0,0,31,8,0,3,0,0,0,0,5,198741,1
00010004  6,UG7,1,4,1400,1993,1117,23,2,1,0,1,5,14,22,1,1,1,1,0,0,0,31,8,0,1,0,0,0,0,5,198741,1
00010004  7,UG7,1,4,1400,1986,1034,30,4,1,0,1,6,14,22,1,1,1,1,0,0,0,31,8,0,1,0,2,0,0,5,198741,1
00010004  8,UG7,1,4,1400,1989,1073,27,3,1,0,2,3,14,22,1,1,1,1,0,0,0,31,8,0,3,0,0,0,0,5,198741,1
00010005  1,UG7,1,5,1400,1990,1081,26,3,1,0,2,1,13,23,1,1,0,0,0,0,0,31,4,1,3,0,4,0,0,5,100174,1
00010006  1,UG7,1,6,1400,1981,984,34,4,1,0,2,2,13,22,1,0,1,0,0,0,0,31,2,0,3,0,1,1,0,5,128661,0
00010007  1,UG7,1,7,1400,1977,934,38,5,1,0,2,4,12,23,1,0,1,1,0,0,0,31,3,1,3,0,5,1,0,5,164210,0
00010007  2,UG7,1,7,1400,1996,1162,19,1,1,0,2,6,12,23,1,0,1,1,0,0,0,31,3,1,4,0,0,0,0,5,164210,0
