CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
29   2  2,ZM7,29,2,1425,1998,1181,20,2,1,0,2,1,14,22,1,0,1,0,0,0,0,31,3,1,3,,0,0,0,4,59585,0
29   3  1,ZM7,29,3,1425,1988,1059,30,4,1,0,1,7,14,22,1,1,1,0,0,0,0,33,1,0,2,,0,0,0,4,56083,0
29   4  1,ZM7,29,4,1425,1979,949,39,5,1,0,1,7,14,12,0,0,0,0,0,0,0,31,2,0,2,,0,0,0,4,48918,0
29   5  4,ZM7,29,5,1425,2003,1240,15,1,1,0,2,0,14,22,0,1,0,0,0,0,0,38,4,0,3,,0,0,0,4,64372,0
29   6  3,ZM7,29,6,1425,1996,1164,21,2,1,0,2,2,14,22,1,1,1,0,0,0,0,31,4,0,3,,0,0,0,4,84188,0
29   9  2,ZM7,29,9,1425,1984,1018,33,4,1,0,1,7,14,23,1,1,1,0,0,0,0,38,9,3,2,,0,0,0,4,55555,1
29  10  2,ZM7,29,10,1425,1993,1118,25,3,1,0,2,1,12,22,1,1,1,0,0,0,0,31,4,2,3,,0,0,0,4,72801,0
29  13  3,ZM7,29,13,1425,1996,1154,22,2,1,0,2,5,14,22,1,1,1,0,0,0,0,38,5,2,4,,5,0,0,4,96122,0
29  16  1,ZM7,29,16,1425,1980,963,38,5,1,0,2,2,14,22,1,1,1,0,0,0,0,33,3,0,3,,0,0,0,4,91394,0
29  17  2,ZM7,29,17,1425,1979,959,38,5,1,0,2,1,14,22,1,1,1,1,0,0,0,38,3,0,3,,0,0,0,5,120985,0
29  18  2,ZM7,29,18,1425,1978,939,40,6,1,0,1,7,14,22,0,1,0,0,0,0,0,33,4,0,2,,0,0,0,4,80764,0
29  18  3,ZM7,29,18,1425,1999,1195,19,1,1,0,2,2,14,22,0,1,0,0,0,0,0,33,4,0,3,,0,0,0,4,80764,0
