CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
87  2  2,BD7,87,2,1416,1982,991,35,5,1,1,2,5,21,22,1,0,1,0,1,0,0,31,5,1,4,0,,0,,4,37886,
87 13  2,BD7,87,13,1416,1987,1050,30,4,1,1,2,4,21,13,1,0,1,0,0,0,1,31,4,0,3,0,,0,,3,-5496,
87 18  2,BD7,87,18,1416,1981,978,36,5,1,1,0,,21,13,1,0,0,0,0,0,0,31,6,0,0,0,,0,,3,-39871,
87 24  2,BD7,87,24,1416,1981,982,36,5,1,1,0,,21,22,1,0,0,0,0,0,0,31,3,0,0,0,,0,,4,428,
87 29  2,BD7,87,29,1416,1992,1108,25,3,1,1,0,,21,23,1,0,1,0,1,0,0,31,7,2,0,0,,0,,3,-38702,
87 35  2,BD7,87,35,1416,1973,883,44,6,1,1,0,,21,13,1,0,0,0,0,0,0,31,5,1,0,0,,1,,3,-29966,
87 35  4,BD7,87,35,1416,1995,1144,22,2,1,1,2,3,21,13,1,0,0,0,0,0,0,31,5,1,3,0,,0,,3,-29966,
87 40  2,BD7,87,40,1416,1986,1035,31,4,1,1,2,2,21,22,1,0,0,0,0,0,0,31,6,1,3,0,,0,,2,-70167,
87 51  2,BD7,87,51,1416,1988,1066,29,3,1,1,2,3,21,22,1,0,1,1,0,0,0,31,5,0,3,0,,0,,4,79688,
87 56  3,BD7,87,56,1416,1974,899,43,6,1,1,1,0,21,22,1,0,0,0,1,0,0,35,10,0,1,0,,0,,4,3625,
87 56  7,BD7,87,56,1416,1989,1072,28,3,1,1,2,2,97,97,7,7,7,7,7,7,7,97,10,0,3,7,,1,,4,3625,
87 62  4,BD7,87,62,1416,1996,1154,21,2,1,1,2,2,21,12,1,0,1,0,0,0,0,35,8,1,3,0,,0,,5,120995,
87 62  7,BD7,87,62,1416,2002,1234,15,1,1,1,2,4,21,12,1,0,1,0,0,0,0,35,8,1,3,0,,0,,5,120995,
87 67  2,BD7,87,67,1416,1970,845,47,7,1,1,0,,21,22,1,0,1,0,0,0,0,31,3,0,0,0,,1,,3,-23796,
87 72  2,BD7,87,72,1416,2000,1211,17,1,1,1,2,4,21,21,1,0,1,0,1,0,0,31,4,1,3,0,,0,,4,-4090,
87 78  3,BD7,87,78,1416,1996,1160,21,2,1,1,2,4,21,22,1,0,0,1,0,0,0,31,5,1,3,0,,0,,3,-30269,
87 83  2,BD7,87,83,1416,1996,1156,21,2,1,1,2,3,21,22,1,0,1,0,0,0,0,31,3,0,3,0,,0,,3,-53233,
87 89  2,BD7,87,89,1416,1986,1043,31,4,1,1,2,3,21,12,1,0,1,0,0,0,0,31,4,1,3,0,,0,,5,92786,
