CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
0784101305 08,IA7,84113,5,1452,1984,1009,36,5,1,0,2,6,61,12,1,0,1,1,1,1,1,33,15,0,4,0,,,,5,1898630,
0784101305 13,IA7,84113,5,1452,1984,1015,36,5,1,0,2,5,61,12,1,0,1,1,1,1,1,33,15,0,3,0,,,,5,1898630,
0784101334 04,IA7,84113,34,1452,1998,1187,22,2,1,0,3,3,21,12,1,0,1,1,0,1,1,35,5,0,5,0,,,,5,1534380,
0784101356 02,IA7,84113,56,1452,1981,984,39,5,1,0,2,1,61,12,1,0,0,0,0,1,0,33,6,0,3,0,,,,3,348880,
0784101356 03,IA7,84113,56,1452,2000,1211,20,2,1,0,2,7,61,12,1,0,0,0,0,1,0,33,6,0,3,0,,,,3,348880,
0784101356 05,IA7,84113,56,1452,2004,1259,16,1,1,0,2,5,61,12,1,0,0,0,0,1,0,33,6,0,3,0,,,,3,348880,
0784101301 03,IA7,84113,1,1452,1981,980,39,5,1,0,3,5,11,12,1,0,1,1,1,1,1,35,6,1,5,0,,,,5,2250060,
0784101319 04,IA7,84113,19,1452,1999,1200,21,2,1,0,2,3,61,12,1,0,1,1,0,1,0,35,5,1,3,0,,,,5,1681770,
0784101399 02,IA7,84113,99,1452,1982,995,38,5,1,0,0,,71,12,1,0,1,1,0,0,0,33,5,0,0,1,,,,5,1257010,
0784101399 04,IA7,84113,99,1452,2002,1228,18,1,1,0,2,6,71,12,1,0,1,1,0,0,0,33,5,0,4,1,,,,5,1257010,
0784101375 04,IA7,84113,75,1452,1988,1061,32,4,1,0,3,3,21,12,1,0,1,1,0,1,1,35,9,1,5,0,,,,5,1760209,
0784101375 08,IA7,84113,75,1452,1993,1127,27,3,1,0,2,7,21,12,1,0,1,1,0,1,1,35,9,1,3,0,,,,5,1760209,
0784101337 04,IA7,84113,37,1452,1992,1114,28,3,1,0,3,4,61,12,1,0,1,1,1,1,1,35,7,1,5,0,,,,5,1724829,
0784101337 07,IA7,84113,37,1452,1998,1179,22,2,1,0,3,4,61,12,1,0,1,1,1,1,1,35,7,1,5,0,,,,5,1724829,
0784101335 04,IA7,84113,35,1452,1995,1141,25,3,1,0,2,7,61,12,1,0,1,1,0,1,1,35,5,1,3,0,,,,5,1857780,
0784101357 03,IA7,84113,57,1452,1984,1009,36,5,1,0,2,3,61,12,1,0,1,1,0,1,0,34,6,0,3,0,,,,5,1424960,
0784101357 04,IA7,84113,57,1452,2002,1235,18,1,1,0,2,7,61,12,1,0,1,1,0,1,0,34,6,0,3,0,,,,5,1424960,
0784101314 04,IA7,84113,14,1452,1994,1135,26,3,1,0,3,5,71,12,1,0,1,0,0,1,0,33,6,1,5,0,,,,4,971470,
0784101307 02,IA7,84113,7,1452,1974,889,46,7,1,0,0,,11,12,1,0,1,0,0,0,0,34,6,2,0,0,,,,3,133750,
0784101307 04,IA7,84113,7,1452,2002,1235,18,1,1,0,2,5,11,12,1,0,1,0,0,0,0,34,6,2,3,0,,,,3,133750,
0784101395 03,IA7,84113,95,1452,1988,1057,32,4,1,0,0,,11,12,1,0,1,1,0,1,0,35,7,0,0,0,,,,5,1557110,
0784101316 02,IA7,84113,16,1452,1980,961,40,6,1,0,0,,11,11,1,0,1,1,0,0,0,38,5,0,0,0,,,,4,766500,
0784101358 02,IA7,84113,58,1452,1984,1009,36,5,1,0,2,5,61,12,1,0,1,1,1,1,0,38,6,0,3,0,,,,4,827880,
0784101322 04,IA7,84113,22,1452,1987,1051,33,4,1,0,2,5,11,12,1,0,1,1,1,1,0,35,8,0,3,0,,,,5,1466050,
0784101380 02,IA7,84113,80,1452,1984,1009,36,5,1,0,0,,11,12,1,0,1,1,0,0,0,38,6,0,0,0,,,,4,1073970,
0784101380 03,IA7,84113,80,1452,2002,1225,18,1,1,0,2,5,11,12,1,0,1,1,0,0,0,38,6,0,3,0,,,,4,1073970,
0784101380 04,IA7,84113,80,1452,2003,1237,17,1,1,0,2,4,11,12,1,0,1,1,0,0,0,38,6,0,3,0,,,,4,1073970,
