CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
49   1  2,PK7,49,1,1416,1982,995,35,5,1,1,0,,11,23,1,1,1,0,0,0,0,23,4,1,0,0,,0,0,2,-84748,0
49   2  2,PK7,49,2,1416,1996,1163,21,2,1,1,0,,11,11,1,0,0,1,0,1,0,23,8,5,0,0,,0,0,3,-25324,1
49   4  3,PK7,49,4,1416,1988,1066,29,3,1,1,0,,21,13,1,1,1,1,0,1,0,37,8,1,0,0,,0,0,5,103568,0
49   4  5,PK7,49,4,1416,1998,1180,19,1,1,1,1,4,21,13,1,1,1,1,0,1,0,37,8,1,1,0,,0,0,5,103568,0
49   5  2,PK7,49,5,1416,1979,955,38,5,1,1,0,,11,11,0,0,0,0,1,1,0,23,7,1,0,0,,0,0,2,-72762,1
49   7  2,PK7,49,7,1416,1972,872,45,7,1,1,0,,31,12,1,0,1,1,0,0,0,23,7,0,0,0,,0,0,3,-263,0
49   7  5,PK7,49,7,1416,2000,1209,17,1,1,1,0,,31,12,1,0,1,1,0,0,0,23,7,0,0,0,,0,0,3,-263,1
49   8  2,PK7,49,8,1416,1981,982,36,5,1,1,0,,13,23,1,0,0,0,0,1,0,23,10,2,0,0,,0,0,1,-116157,0
49   9  2,PK7,49,9,1416,1975,908,42,6,1,1,0,,11,22,1,0,1,1,0,0,0,23,7,3,0,0,,0,0,2,-38702,0
49   9  4,PK7,49,9,1416,1997,1167,20,2,1,1,0,,11,22,1,0,1,1,0,0,0,23,7,3,0,0,,0,0,2,-38702,0
49  10  2,PK7,49,10,1416,2000,1201,17,1,1,1,1,4,11,12,1,0,0,1,0,0,0,37,3,1,1,0,,0,0,3,23811,1
49  11  3,PK7,49,11,1416,1977,934,40,6,1,1,0,,21,13,1,0,1,1,0,0,0,37,10,0,0,0,,0,0,4,39252,0
