CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
318   1  2,KH8,318,1,1462,1993,1127,27,3,1,0,2,9,11,11,1,0,0,0,0,1,0,31,3,1,3,0,,1,1,4,109079,0
318   2  2,KH8,318,2,1462,1994,1129,27,3,1,0,2,8,97,97,7,7,7,7,7,7,7,97,3,0,3,7,,0,0,5,127349,1
318   3  1,KH8,318,3,1462,1985,1021,36,5,1,0,2,7,11,11,1,0,0,0,0,1,0,36,2,0,3,0,,0,1,5,120247,0
318   4  1,KH8,318,4,1462,1994,1131,27,3,1,0,2,12,11,11,1,0,0,0,0,1,0,31,2,0,4,0,,1,1,5,127007,0
318   5  1,KH8,318,5,1462,1989,1076,32,4,1,0,3,4,11,11,1,1,1,1,0,0,1,36,2,0,5,0,,1,0,5,203446,0
318   6  1,KH8,318,6,1462,1993,1128,27,3,1,0,2,8,14,11,1,0,1,1,0,0,0,35,1,0,3,0,,1,0,5,159374,0
318   8  1,KH8,318,8,1462,1988,1064,33,4,1,0,2,7,11,11,1,0,0,1,0,1,0,36,1,0,3,0,,1,1,5,171401,1
318  11  1,KH8,318,11,1462,1994,1137,27,3,1,0,2,8,11,11,1,0,0,1,0,0,0,36,1,0,3,0,,0,1,5,145201,0
318  12  1,KH8,318,12,1462,1984,1015,37,5,1,0,1,3,71,11,1,0,0,0,0,1,0,31,1,0,1,0,,1,1,4,95319,0
318  13  2,KH8,318,13,1462,1997,1167,24,2,1,0,1,6,11,11,1,0,0,0,1,1,1,36,3,0,2,0,,1,1,5,151390,0
318  14  1,KH8,318,14,1462,1988,1066,33,4,1,0,2,7,14,11,1,0,0,0,0,1,0,31,2,0,3,0,,0,0,5,117248,0
318  15  2,KH8,318,15,1462,1987,1049,34,4,1,0,0,,11,11,1,0,0,1,0,1,0,36,2,0,0,0,,0,0,5,138501,0
318  16  4,KH8,318,16,1462,1995,1151,25,3,1,0,3,4,11,11,1,0,1,1,1,0,1,34,4,0,5,0,,1,1,5,193894,0
318  17  2,KH8,318,17,1462,1990,1091,30,4,1,0,2,12,11,11,1,0,0,1,1,1,0,31,5,1,4,0,,1,1,5,126530,1
318  18  2,KH8,318,18,1462,1989,1074,32,4,1,0,1,6,11,11,1,0,0,0,0,1,0,31,3,0,2,0,,1,1,4,90039,1
318  19  2,KH8,318,19,1462,2002,1234,19,1,1,0,2,10,11,11,1,0,0,1,0,1,1,31,7,1,3,0,,0,0,5,169442,0
318  20  1,KH8,318,20,1462,1987,1051,34,4,1,0,2,12,11,11,1,0,1,1,0,1,0,31,3,0,4,0,,1,1,5,164474,1
318  20  3,KH8,318,20,1462,2000,1208,21,2,1,0,2,8,11,11,1,0,1,1,0,1,0,31,3,0,3,0,,1,1,5,164474,1
318  21  2,KH8,318,21,1462,1986,1034,35,5,1,0,2,11,11,11,1,0,1,1,1,1,0,31,2,0,3,0,,0,1,5,167621,0
318  22  1,KH8,318,22,1462,2001,1222,20,2,1,0,3,1,14,11,1,0,0,0,0,1,0,31,2,0,5,0,,1,0,5,132220,1
318  22  2,KH8,318,22,1462,2001,1216,20,2,1,0,3,1,14,11,1,0,0,0,0,1,0,31,2,0,5,0,,1,0,5,132220,0
318  23  3,KH8,318,23,1462,1987,1051,34,4,1,0,3,4,11,11,1,0,0,1,1,1,0,33,7,2,5,0,,1,1,5,163607,0
318  24  4,KH8,318,24,1462,1996,1162,25,3,1,0,2,9,11,11,1,0,1,0,1,1,0,36,5,1,3,0,,0,1,5,173574,1
318  26  3,KH8,318,26,1462,1991,1098,30,4,1,0,3,4,11,11,1,0,1,0,1,1,1,31,6,2,5,0,,1,1,4,82046,1
318  27  2,KH8,318,27,1462,1987,1049,34,4,1,0,2,8,11,11,1,0,0,0,0,1,0,31,8,2,3,0,,0,0,5,126338,0
318  27  3,KH8,318,27,1462,1989,1075,32,4,1,0,2,9,11,11,1,0,0,0,0,1,0,31,8,2,3,0,,1,1,5,126338,0
318  28  3,KH8,318,28,1462,1987,1045,34,4,1,0,2,12,14,11,1,1,1,1,1,1,0,33,5,0,4,0,,1,0,5,122532,0
318  28  5,KH8,318,28,1462,1994,1138,27,3,1,0,3,3,14,11,1,1,1,1,1,1,0,33,5,0,5,0,,1,1,5,122532,0
318  29  1,KH8,318,29,1462,1986,1041,35,5,1,0,2,9,11,11,1,0,0,1,1,1,0,31,4,0,3,0,,1,1,5,133340,0
318  29  4,KH8,318,29,1462,1996,1155,25,3,1,0,3,4,11,11,1,0,0,1,1,1,0,31,4,0,5,0,,1,1,5,133340,0
318  30  1,KH8,318,30,1462,1988,1061,33,4,1,0,1,1,11,11,1,0,0,1,0,1,0,31,2,0,1,0,,0,1,5,115239,1
319   5  3,KH8,319,5,1461,1986,1035,35,5,1,0,1,5,11,11,1,0,1,1,1,1,1,36,3,0,1,0,,1,1,5,181130,0
319   6  1,KH8,319,6,1461,1982,993,39,5,1,0,1,3,11,11,1,0,0,1,1,1,1,31,6,0,1,0,,0,1,5,135025,0
319   9  1,KH8,319,9,1461,1986,1036,35,5,1,0,1,6,11,11,1,0,1,1,1,1,0,31,4,2,2,0,,1,1,5,185170,0
319  10  1,KH8,319,10,1461,1975,906,46,7,1,0,3,3,11,11,1,0,1,1,0,1,0,36,1,0,5,0,,1,1,5,203092,0
319  12  1,KH8,319,12,1461,1977,929,44,6,1,0,1,3,14,11,1,0,1,1,1,1,1,31,5,0,1,0,,1,1,5,194162,0
