CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
287   2  2,PH8,287,2,1469,1988,1064,33,4,1,0,3,6,72,11,1,1,1,1,0,1,0,31,4,1,5,1,,1,1,5,143423,0
287   3  2,PH8,287,3,1469,1976,917,46,7,1,0,3,4,72,11,1,0,1,1,0,1,0,31,6,0,5,0,,0,1,5,112886,0
287   3  6,PH8,287,3,1469,1996,1153,26,3,1,0,2,4,72,11,1,0,1,1,0,1,0,31,6,0,4,0,,0,1,5,112886,0
287   7  2,PH8,287,7,1469,1990,1087,31,4,1,0,2,4,72,11,1,0,1,1,0,1,0,31,4,1,4,0,,0,1,5,125537,0
287   7  4,PH8,287,7,1469,2000,1204,22,2,1,0,3,1,97,97,7,7,7,7,7,7,7,97,4,1,5,7,,0,1,5,125537,0
287   9  1,PH8,287,9,1469,1975,910,46,7,1,0,2,4,72,12,1,1,1,1,1,1,0,31,5,0,4,0,,1,1,4,89404,0
287  10  1,PH8,287,10,1469,1973,884,48,7,1,0,2,4,72,12,1,1,1,0,0,0,0,31,4,0,4,0,,1,1,4,58774,0
287  10  3,PH8,287,10,1469,2004,1250,18,1,1,0,2,4,72,12,1,1,1,0,0,0,0,31,4,0,4,0,,1,1,4,58774,0
287  11  2,PH8,287,11,1469,1991,1101,30,4,1,0,2,4,72,12,1,0,1,0,0,1,0,31,3,0,4,1,,1,1,5,123674,0
287  12  2,PH8,287,12,1469,1981,983,40,6,1,0,2,4,72,12,1,1,1,1,0,0,0,31,4,0,4,0,,1,1,4,90062,0
287  13  2,PH8,287,13,1469,2002,1231,19,1,1,0,3,1,72,12,1,0,1,1,0,1,1,31,2,0,5,0,,1,1,5,149534,0
287  14  1,PH8,287,14,1469,2002,1232,19,1,1,0,2,5,72,12,1,0,1,1,0,1,1,31,3,0,3,1,,1,1,5,192740,0
287  16  1,PH8,287,16,1469,1977,928,45,7,1,0,3,6,72,12,1,1,1,1,0,1,1,34,3,1,5,1,,1,1,5,178094,0
287  17  3,PH8,287,17,1469,2004,1252,18,1,1,0,2,4,72,12,1,1,1,1,0,0,0,31,5,0,4,0,,0,1,4,104935,0
287  17  4,PH8,287,17,1469,2006,1276,16,1,1,0,2,2,72,12,1,1,1,1,0,0,0,31,5,0,3,0,,0,1,4,104935,0
287  18  2,PH8,287,18,1469,1999,1200,22,2,1,0,3,1,72,12,1,1,1,0,0,0,0,31,2,0,5,0,,0,1,3,16527,0
287  21  3,PH8,287,21,1469,2002,1235,19,1,1,0,2,6,72,12,1,1,1,1,0,1,1,31,4,0,4,1,,0,1,5,182545,0
287  21  4,PH8,287,21,1469,1986,1036,36,5,1,0,2,4,72,12,1,1,1,1,0,1,1,31,4,0,4,1,,0,1,5,182545,0
287  22  4,PH8,287,22,1469,2001,1215,21,2,1,0,3,2,72,12,1,1,1,1,0,0,0,31,5,0,5,0,,0,1,5,144259,0
2871004  2,PH8,287,1004,1469,1993,1124,28,3,1,0,3,4,72,12,1,0,1,0,0,0,0,31,4,2,5,0,,0,1,2,-916,0
2871018  1,PH8,287,1018,1469,1992,1109,30,4,1,0,2,4,72,12,1,1,1,0,0,0,0,31,7,3,4,0,,0,1,3,14515,1
