CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
38628  2,BF6,386,28,1332,1982,985,28,3,1,0,2,6,11,11,1,1,1,1,0,0,1,31,4,1,3,0,1,5,554099,1
386 1  2,BF6,386,1,1332,1964,774,46,7,1,0,1,6,13,22,1,1,1,0,1,1,0,31,4,0,2,0,0,5,210687,1
386 1  4,BF6,386,1,1332,1995,1141,15,1,1,0,1,5,13,22,1,1,1,0,1,1,0,31,4,0,1,0,0,5,210687,0
38621  2,BF6,386,21,1332,1990,1081,20,2,1,0,0,,12,22,1,1,1,0,0,1,0,31,3,1,0,0,3,5,234550,1
38613  2,BF6,386,13,1332,1981,981,29,3,1,0,0,,13,22,1,1,1,0,0,1,0,31,4,1,0,0,0,5,178302,1
38629  2,BF6,386,29,1332,1987,1052,23,2,1,0,2,6,12,22,1,1,1,1,1,1,0,31,3,1,3,0,4,5,290205,1
386 9  2,BF6,386,9,1332,1970,845,40,6,1,0,1,1,13,22,1,1,1,0,0,1,0,31,5,1,1,0,0,5,147991,0
38626  2,BF6,386,26,1332,1987,1053,23,2,1,0,3,1,12,22,1,1,1,1,1,1,0,31,3,0,5,1,3,5,347233,0
38615  1,BF6,386,15,1332,1977,928,33,4,1,0,0,,12,22,1,1,1,0,1,1,0,31,5,2,0,0,0,5,220964,1
38612  2,BF6,386,12,1332,1983,997,27,3,1,0,1,5,13,22,0,1,0,0,0,0,0,31,4,1,1,0,0,5,56503,1
38618  2,BF6,386,18,1332,1973,879,37,5,1,0,3,4,12,11,1,1,1,1,1,1,1,31,6,0,5,0,0,5,440682,1
38618  6,BF6,386,18,1332,1993,1120,17,1,1,0,0,,12,11,1,1,1,1,1,1,1,31,6,0,0,0,0,5,440682,0
386 2  2,BF6,386,2,1332,1976,924,34,4,1,0,0,,12,22,1,1,1,1,1,1,0,31,5,2,0,0,0,5,261258,0
386 6  1,BF6,386,6,1332,1978,943,32,4,1,0,0,,13,22,1,1,1,0,0,1,0,31,2,0,0,0,3,5,209519,0
38622  2,BF6,386,22,1332,1988,1064,22,2,1,0,2,3,12,22,1,1,1,0,0,1,0,31,3,0,3,0,0,5,229481,0
386 7  2,BF6,386,7,1332,1975,905,35,5,1,0,2,6,12,22,1,1,1,1,1,1,1,31,5,1,3,1,0,5,354765,1
386 3  2,BF6,386,3,1332,1975,907,35,5,1,0,3,5,12,11,1,1,1,1,1,0,1,31,4,1,5,1,7,5,610206,1
386 3  4,BF6,386,3,1332,1987,1045,23,2,1,0,0,,12,11,1,1,1,1,1,0,1,31,4,1,0,1,0,5,610206,0
386 4  2,BF6,386,4,1332,1976,913,34,4,1,0,2,2,12,22,1,1,1,0,1,1,1,31,5,2,3,0,3,5,259550,1
38620  1,BF6,386,20,1332,1978,946,32,4,1,0,2,3,11,22,1,1,1,0,0,1,0,31,3,1,3,0,0,5,179613,1
38630  2,BF6,386,30,1332,1984,1015,26,3,1,0,1,6,12,22,1,1,1,0,1,1,0,31,4,2,2,0,0,5,189351,1
50220  2,BF6,502,20,1326,1961,733,49,7,1,0,0,,13,22,1,1,1,0,1,1,0,31,15,2,0,0,2,5,133927,1
50220  3,BF6,502,20,1326,1985,1025,25,3,1,0,2,1,13,22,1,1,1,0,1,1,0,31,15,2,3,0,0,5,133927,1
50220  7,BF6,502,20,1326,1967,807,43,6,1,0,0,,13,22,1,1,1,0,1,1,0,31,15,2,0,0,1,5,133927,1
50220 10,BF6,502,20,1326,1991,1104,18,1,1,0,2,2,13,22,1,1,1,0,1,1,0,31,15,2,3,0,0,5,133927,1
502 9  3,BF6,502,9,1326,1991,1094,19,1,1,0,2,2,13,22,1,1,0,0,1,0,0,31,3,0,3,0,0,5,155324,0
502 5  2,BF6,502,5,1326,1982,995,27,3,1,0,1,6,13,13,0,1,0,0,1,1,0,31,3,1,2,0,0,5,95494,1
502 3  2,BF6,502,3,1326,1977,928,33,4,1,0,2,2,12,22,1,1,1,1,0,1,0,31,5,0,3,1,0,5,355751,0
502 3  4,BF6,502,3,1326,1992,1109,18,1,1,0,2,5,12,22,1,1,1,1,0,1,0,31,5,0,3,1,3,5,355751,1
