CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
3 1  2,GH6,3,1,1379,1990,1085,24,2,1,0,2,3,31,21,1,1,0,1,1,0,0,37,3,1,3,0,1,5,109324,0
3 5  3,GH6,3,5,1379,1990,1092,23,2,1,0,2,7,72,21,1,1,1,1,0,0,0,37,8,2,4,0,0,5,111723,0
3 5  4,GH6,3,5,1379,1993,1121,21,2,1,0,3,1,72,21,1,1,1,1,0,0,0,37,8,2,5,0,0,5,111723,0
3 9  2,GH6,3,9,1379,1990,1085,24,2,1,0,2,6,12,11,1,1,1,1,0,0,1,37,3,1,4,0,10,5,151092,1
310  2,GH6,3,10,1379,1984,1010,30,4,1,0,2,3,13,21,1,1,1,1,0,0,0,37,2,0,3,0,0,5,118825,1
311  2,GH6,3,11,1379,1976,914,38,5,1,0,2,3,31,13,1,1,1,1,1,0,0,37,7,2,3,0,1,5,118147,0
312  2,GH6,3,12,1379,1971,859,43,6,1,0,1,5,31,21,1,1,1,1,0,0,1,37,6,0,1,0,5,5,126581,1
312  4,GH6,3,12,1379,1999,1190,15,1,1,0,1,4,31,21,1,1,1,1,0,0,1,37,6,0,1,0,0,5,126581,0
314  2,GH6,3,14,1379,1983,1000,31,4,1,0,2,3,21,21,1,1,1,1,0,0,0,37,5,3,3,0,1,5,105452,1
315  2,GH6,3,15,1379,1990,1090,24,2,1,0,2,3,72,21,1,1,1,1,0,0,0,37,3,1,3,0,0,5,114280,0
316  4,GH6,3,16,1379,1996,1160,18,1,1,0,1,5,11,12,1,1,1,1,0,0,1,37,5,0,1,0,0,5,204776,0
320  1,GH6,3,20,1379,1968,822,46,7,1,0,2,4,31,12,1,1,1,1,0,0,1,37,5,0,3,0,15,5,193503,0
320  3,GH6,3,20,1379,1995,1146,19,1,1,0,2,4,31,12,1,1,1,1,0,0,1,37,5,0,3,0,0,5,193503,0
322  1,GH6,3,22,1379,1972,869,42,6,1,0,2,4,12,12,1,1,1,1,0,0,0,37,4,0,3,0,3,5,143579,0
322  3,GH6,3,22,1379,1998,1187,16,1,1,0,2,2,12,12,1,1,1,1,0,0,0,37,4,0,3,0,0,5,143579,0
323  2,GH6,3,23,1379,1986,1037,28,3,1,0,2,3,12,21,1,1,1,1,0,0,1,37,4,2,3,0,1,5,124290,0
324  2,GH6,3,24,1379,1968,824,46,7,1,0,2,4,31,21,0,0,0,0,0,0,0,37,6,1,3,0,0,2,-29643,1
324  3,GH6,3,24,1379,1993,1125,21,2,1,0,2,6,31,21,0,0,0,0,0,0,0,37,6,1,4,0,6,2,-29643,1
326  3,GH6,3,26,1379,1990,1082,24,2,1,0,2,6,21,21,1,1,0,0,0,0,0,37,7,2,4,0,1,3,13492,0
327  2,GH6,3,27,1379,1969,835,45,7,1,0,2,4,72,21,1,1,1,1,1,0,0,37,5,0,3,0,3,4,81477,0
327  3,GH6,3,27,1379,1968,820,46,7,1,0,2,2,72,21,1,1,1,1,1,0,0,37,5,0,3,0,20,4,81477,1
328  2,GH6,3,28,1379,1974,895,40,6,1,0,2,4,72,11,1,1,1,1,0,0,1,37,7,2,3,0,0,5,157133,1
328  3,GH6,3,28,1379,1999,1192,15,1,1,0,2,3,72,11,1,1,1,1,0,0,1,37,7,2,3,0,0,5,157133,0
329  1,GH6,3,29,1379,1977,932,37,5,1,0,2,4,31,21,1,1,1,1,0,0,0,37,2,0,3,0,10,4,91831,0
330  2,GH6,3,30,1379,1968,827,46,7,1,0,2,4,31,21,1,1,1,1,0,0,0,37,6,0,3,0,0,4,84682,0
330  4,GH6,3,30,1379,1999,1196,15,1,1,0,2,2,31,21,1,1,1,1,0,0,0,37,6,0,3,0,0,4,84682,0
332  2,GH6,3,32,1379,1988,1063,26,3,1,0,2,3,31,21,1,1,1,1,0,0,1,37,2,0,3,0,0,4,90569,0
333  2,GH6,3,33,1379,1976,922,38,5,1,0,2,4,11,12,1,1,1,1,0,0,1,37,3,0,3,0,1,5,167899,0
4 2  2,GH6,4,2,1377,1979,951,35,5,1,0,2,3,72,23,0,1,1,1,0,0,0,37,5,2,3,0,1,4,62991,1
4 3  2,GH6,4,3,1377,1971,854,43,6,1,0,0,,12,21,1,1,1,1,1,0,0,31,7,0,0,0,1,4,40125,1
4 3  3,GH6,4,3,1377,1991,1098,23,2,1,0,2,7,12,21,1,1,1,1,1,0,0,31,7,0,4,0,1,4,40125,0
4 3  4,GH6,4,3,1377,1995,1143,19,1,1,0,2,4,12,21,1,1,1,1,1,0,0,31,7,0,3,0,1,4,40125,1
4 4  2,GH6,4,4,1377,1975,909,39,5,1,0,2,4,72,21,1,1,1,1,0,0,0,37,6,1,3,0,2,5,107313,0
4 4  3,GH6,4,4,1377,1998,1188,15,1,1,0,2,2,72,21,1,1,1,1,0,0,0,37,6,1,3,0,1,5,107313,1
4 6  2,GH6,4,6,1377,1972,872,42,6,1,0,0,,13,23,0,0,0,0,1,0,0,37,6,2,0,0,2,3,-18055,1
411  2,GH6,4,11,1377,1982,995,31,4,1,0,2,3,13,23,1,0,1,0,1,0,0,37,7,3,3,0,0,3,11408,1
413  2,GH6,4,13,1377,1983,1003,31,4,1,0,2,3,13,13,1,1,1,0,1,0,1,37,5,2,3,0,0,4,75175,1
414  3,GH6,4,14,1377,1990,1086,24,2,1,0,3,3,61,23,1,1,1,0,0,0,0,37,3,0,5,0,10,4,83140,0
416  2,GH6,4,16,1377,1991,1098,23,2,1,0,2,1,72,11,1,1,1,1,0,0,0,37,3,1,3,0,2,5,97098,1
418  2,GH6,4,18,1377,1978,944,36,5,1,0,1,5,72,21,1,0,1,0,0,0,0,37,3,1,1,0,1,4,69897,1
419  2,GH6,4,19,1377,1981,973,33,4,1,0,2,3,13,21,1,1,1,1,0,0,1,37,11,3,3,0,0,4,86188,1
419  7,GH6,4,19,1377,1982,987,32,4,1,0,2,3,13,21,1,1,1,1,0,0,1,37,11,3,3,0,1,4,86188,1
420  2,GH6,4,20,1377,1990,1091,23,2,1,0,2,3,72,21,1,1,1,1,0,0,0,37,2,0,3,0,2,4,81036,1
421  2,GH6,4,21,1377,1991,1093,23,2,1,0,2,7,72,21,1,0,1,0,0,0,0,37,3,1,4,0,0,3,18460,1
422  2,GH6,4,22,1377,1981,980,33,4,1,0,2,3,13,21,1,1,1,1,1,0,0,31,4,0,3,0,0,4,75608,1
424  2,GH6,4,24,1377,1981,974,33,4,1,0,2,6,13,12,1,0,1,1,0,0,0,31,3,0,4,0,10,4,73224,0
425  2,GH6,4,25,1377,1977,926,37,5,1,0,2,3,13,21,1,1,1,1,0,0,0,31,6,1,3,1,0,5,122109,1
428  1,GH6,4,28,1377,1982,991,32,4,1,0,1,3,13,21,0,1,1,1,0,0,0,31,3,1,1,0,0,3,24237,0
430  2,GH6,4,30,1377,1972,871,42,6,1,0,2,2,61,21,1,0,1,1,0,0,0,31,2,0,3,0,10,4,58929,1
431  2,GH6,4,31,1377,1980,966,34,4,1,0,0,,72,21,1,0,1,0,1,0,0,37,6,1,0,0,0,4,54239,0
432  2,GH6,4,32,1377,1980,971,33,4,1,0,2,3,72,23,1,1,1,1,0,0,0,37,5,0,3,0,6,5,127481,1
432  3,GH6,4,32,1377,1997,1173,17,1,1,0,2,2,72,23,1,1,1,1,0,0,0,37,5,0,3,0,0,5,127481,1
433  1,GH6,4,33,1377,1985,1028,29,3,1,0,0,,13,21,1,0,0,0,0,0,0,31,2,0,0,0,0,3,-10294,0
8 1  4,GH6,8,1,1378,1999,1193,15,1,1,0,2,1,72,12,1,1,1,1,0,0,1,37,4,0,3,0,0,5,174258,0
8 2  1,GH6,8,2,1379,1989,1070,25,3,1,0,2,7,72,12,1,1,1,1,0,0,0,37,1,0,4,0,4,5,120620,0
8 5  1,GH6,8,5,1379,1985,1025,29,3,1,0,2,6,12,21,1,1,1,1,0,0,0,37,1,0,4,0,2,5,122007,0
8 8  1,GH6,8,8,1378,1985,1022,29,3,1,0,2,3,72,21,1,1,1,1,0,0,0,37,1,0,3,0,0,5,107517,0
810  2,GH6,8,10,1378,1985,1032,28,3,1,0,3,2,72,11,1,1,1,1,0,0,0,35,2,0,5,0,0,5,164857,1
811  1,GH6,8,11,1378,1970,843,44,6,1,0,2,4,12,12,1,1,1,1,0,0,0,37,4,0,3,0,1,5,134390,0
811  2,GH6,8,11,1378,1994,1132,20,2,1,0,2,7,12,12,1,1,1,1,0,0,0,37,4,0,4,0,0,5,134390,1
