CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V190,V191,V394
9     1 11,CI6,9,1,1348,1985,1021,27,3,1,0,3,3,11,11,1,1,1,1,0,0,0,31,15,1,5,0,0,5,242542,0
9     1 12,CI6,9,1,1348,1982,987,30,4,1,0,3,4,11,11,1,1,1,1,0,0,0,31,15,1,5,0,0,5,242542,0
9     9  3,CI6,9,9,1344,1996,1162,15,1,1,0,0,,11,11,1,1,1,1,0,0,1,32,4,0,0,1,0,5,353635,0
9    10  2,CI6,9,10,1344,1988,1066,23,2,1,0,3,5,11,11,1,1,1,1,0,0,1,31,9,0,5,1,24,5,349229,1
9    10  3,CI6,9,10,1344,1986,1042,25,3,1,0,3,2,11,11,1,1,1,1,0,0,1,31,9,0,5,1,6,5,349229,0
9    10  4,CI6,9,10,1344,1983,1003,28,3,1,0,2,4,11,11,1,1,1,1,0,0,1,31,9,0,3,1,2,5,349229,1
9    10  6,CI6,9,10,1344,1989,1080,22,2,1,0,1,5,11,11,1,1,1,1,0,0,1,31,9,0,1,1,5,5,349229,0
9    11  1,CI6,9,11,1344,1966,793,45,7,1,0,3,2,11,11,1,1,1,1,0,0,0,31,8,1,5,0,5,5,282760,0
9    11  2,CI6,9,11,1348,1973,884,38,5,1,0,2,7,11,11,1,1,1,1,0,0,0,31,8,1,4,0,2,5,282760,1
9    11  7,CI6,9,11,1348,1993,1125,18,1,1,0,2,1,11,11,1,1,1,1,0,0,0,31,8,1,3,0,2,5,282760,1
9    12  2,CI6,9,12,1348,1963,763,48,7,1,0,3,4,11,11,1,1,1,1,0,0,1,35,7,0,5,1,0,5,372982,0
9    12  7,CI6,9,12,1344,1983,1002,28,3,1,0,1,5,11,11,1,1,1,1,0,0,1,35,7,0,1,1,0,5,372982,1
9    14  3,CI6,9,14,1344,1982,988,29,3,1,0,3,5,11,11,1,1,1,1,0,0,1,32,6,0,5,1,2,5,397213,1
9    14  4,CI6,9,14,1344,1988,1062,23,2,1,0,3,5,11,11,1,1,1,1,0,0,1,32,6,0,5,1,2,5,397213,1
9    14  5,CI6,9,14,1344,1979,952,32,4,1,0,3,5,11,11,1,1,1,1,0,0,1,32,6,0,5,1,4,5,397213,1
9    14  6,CI6,9,14,1344,1981,982,30,4,1,0,0,,11,11,1,1,1,1,0,0,1,32,6,0,0,1,11,5,397213,0
9    16  3,CI6,9,16,1344,1981,973,30,4,1,0,3,2,11,12,1,1,1,1,0,0,0,32,8,1,5,0,0,5,259334,1
9    16  5,CI6,9,16,1344,1987,1049,24,2,1,0,2,7,11,12,1,1,1,1,0,0,0,32,8,1,4,0,0,5,259334,1
9    17  6,CI6,9,17,1344,1988,1068,23,2,1,0,3,2,11,11,1,1,1,1,0,0,0,31,10,1,5,1,1,5,206365,1
9    22  1,CI6,9,22,1344,1975,905,36,5,1,0,3,5,11,11,1,1,1,1,0,0,0,35,7,1,5,1,1,5,352672,1
9    22  3,CI6,9,22,1348,1982,985,30,4,1,0,1,3,11,11,1,1,1,1,0,0,0,35,7,1,1,1,0,5,352672,0
9    22  6,CI6,9,22,1344,1988,1064,23,2,1,0,0,,11,11,1,1,1,1,0,0,0,35,7,1,0,1,0,5,352672,0
9    28  2,CI6,9,28,1344,1969,838,42,6,1,0,0,,11,11,1,1,1,1,0,0,1,31,9,0,0,0,0,5,281505,1
9    28  8,CI6,9,28,1344,1981,978,30,4,1,0,2,1,11,11,1,1,1,1,0,0,1,31,9,0,3,0,2,5,281505,1
9    28  9,CI6,9,28,1344,1988,1058,23,2,1,0,1,6,11,11,1,1,1,1,0,0,1,31,9,0,2,0,6,5,281505,0
9    29  3,CI6,9,29,1348,1983,1005,28,3,1,0,3,4,11,11,1,1,1,1,0,0,1,32,6,0,5,1,3,5,355829,1
9    29  6,CI6,9,29,1344,1994,1138,17,1,1,0,1,6,11,11,1,1,1,1,0,0,1,32,6,0,2,1,0,5,355829,0
9    32  1,CI6,9,32,1344,1970,852,41,6,1,0,0,,11,11,1,1,1,1,0,0,1,35,5,0,0,0,10,5,282256,0
9    32  5,CI6,9,32,1344,1987,1047,24,2,1,0,0,,11,11,1,1,1,1,0,0,1,35,5,0,0,0,1,5,282256,0
9    33  2,CI6,9,33,1344,1986,1040,25,3,1,0,3,5,11,11,1,1,1,1,0,0,1,31,4,1,5,1,4,5,316946,1
9    33  4,CI6,9,33,1344,1995,1148,16,1,1,0,0,,11,11,1,1,1,1,0,0,1,31,4,1,0,1,1,5,316946,0
9    34  3,CI6,9,34,1348,1966,795,46,7,1,0,3,4,11,12,1,1,1,1,0,0,0,31,7,0,5,1,3,5,300493,1
9    34  6,CI6,9,34,1344,1996,1157,15,1,1,0,2,5,11,12,1,1,1,1,0,0,0,31,7,0,3,1,31,5,300493,0
9    35  2,CI6,9,35,1344,1978,947,33,4,1,0,3,2,11,11,1,1,1,1,0,0,1,31,5,1,5,1,0,5,346451,0
9    35  5,CI6,9,35,1344,1974,900,37,5,1,0,1,4,11,11,1,1,1,1,0,0,1,31,5,1,1,1,1,5,346451,1
9    36  3,CI6,9,36,1344,1992,1116,19,1,1,0,2,2,11,12,1,1,1,1,0,0,1,96,4,0,3,1,20,5,348024,0
9    36  4,CI6,9,36,1344,1990,1081,21,2,1,0,2,4,11,12,1,1,1,1,0,0,1,96,4,0,3,1,0,5,348024,0
9    37  1,CI6,9,37,1344,1970,843,41,6,1,0,1,6,11,11,1,1,1,1,0,0,0,34,3,0,2,1,1,5,377515,0
9    37  3,CI6,9,37,1344,1987,1048,24,2,1,0,2,4,11,11,1,1,1,1,0,0,0,34,3,0,3,1,0,5,377515,0
9    40  1,CI6,9,40,1344,1968,825,43,6,1,0,3,5,11,12,1,1,1,1,0,0,1,32,3,0,5,1,4,5,375852,1
9    40  3,CI6,9,40,1348,1984,1015,27,3,1,0,3,3,11,12,1,1,1,1,0,0,1,32,3,0,5,1,3,5,375852,1
9    42  3,CI6,9,42,1348,1994,1132,18,1,1,0,1,6,11,11,1,1,1,0,0,0,0,31,3,0,2,0,2,5,227169,1
9    44  1,CI6,9,44,1344,1969,833,42,6,1,0,3,5,11,11,1,1,1,1,0,0,1,32,12,1,5,1,5,5,393465,1
9    44 11,CI6,9,44,1348,1995,1143,17,1,1,0,0,,11,11,1,1,1,1,0,0,1,32,12,1,0,1,0,5,393465,0
9    46  3,CI6,9,46,1348,1985,1023,27,3,1,0,1,6,11,11,1,0,1,0,0,0,0,31,3,0,2,0,0,5,184600,0
9    48  7,CI6,9,48,1344,1965,785,46,7,1,0,2,2,11,11,1,1,1,1,0,0,1,31,8,1,3,1,2,5,379005,0
9    49  2,CI6,9,49,1348,1988,1068,23,2,1,0,3,1,11,12,1,1,1,1,0,0,1,31,10,2,5,0,0,5,351619,1
9    49  6,CI6,9,49,1344,1992,1116,19,1,1,0,1,5,11,12,1,1,1,1,0,0,1,31,10,2,1,0,0,5,351619,0
9    49  8,CI6,9,49,1344,1995,1152,16,1,1,0,1,4,11,12,1,1,1,1,0,0,1,31,10,2,1,0,0,5,351619,0
19     4  2,CI6,19,4,1344,1976,920,35,5,1,0,2,6,11,11,1,0,1,1,1,0,1,31,7,0,3,1,1,5,234894,1
19     9  2,CI6,19,9,1344,1980,963,31,4,1,0,1,6,11,11,1,1,1,1,0,0,0,31,6,1,2,1,0,5,236381,0
