CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
39   1  2,NG7,39,1,1427,1989,1073,29,3,1,0,2,6,62,12,1,1,1,0,0,0,0,31,8,3,4,0,0,0,0,5,111180,0
39   1  7,NG7,39,1,1427,2002,1229,16,1,1,0,2,3,62,12,1,1,1,0,0,0,0,31,8,3,3,0,0,0,0,5,111180,0
39   1  8,NG7,39,1,1427,1992,1116,25,3,1,0,2,6,62,12,1,1,1,0,0,0,0,31,8,3,4,0,3,1,1,5,111180,1
39   4  1,NG7,39,4,1427,1992,1106,26,3,1,0,1,6,21,12,1,0,1,1,0,0,1,31,4,3,2,0,3,0,0,5,105204,1
39   6  2,NG7,39,6,1427,1993,1124,25,3,1,0,1,6,21,13,1,1,1,0,0,0,1,31,4,2,2,0,4,0,0,5,101560,1
39   8  2,NG7,39,8,1427,1992,1107,26,3,1,0,0,,92,13,1,0,1,1,0,0,0,31,6,2,0,0,0,0,0,4,54238,0
39  10  2,NG7,39,10,1427,1988,1066,30,4,1,0,1,6,14,13,1,1,1,1,0,0,0,31,4,1,2,0,2,0,0,4,74735,0
39  13  2,NG7,39,13,1427,1981,981,37,5,1,0,1,4,14,13,1,1,1,0,0,0,0,31,6,1,1,0,4,0,0,4,53269,1
39  15  2,NG7,39,15,1427,1996,1155,22,2,1,0,1,6,21,13,1,1,0,0,0,0,1,31,5,2,2,0,0,0,0,4,38058,1
39  17  2,NG7,39,17,1427,1991,1093,27,3,1,0,2,3,92,12,1,0,1,1,0,0,1,31,5,2,3,0,0,0,0,4,98134,1
39  22  4,NG7,39,22,1427,2000,1211,18,1,1,0,2,6,14,13,1,1,1,0,1,0,1,31,9,0,4,0,0,0,0,5,119071,0
39  22  8,NG7,39,22,1427,2000,1210,18,1,1,0,2,4,14,13,1,1,1,0,1,0,1,31,9,0,3,0,0,0,0,5,119071,1
39  22  9,NG7,39,22,1427,2001,1217,17,1,1,0,1,6,14,13,1,1,1,0,1,0,1,31,9,0,2,0,0,0,0,5,119071,0
39  24  2,NG7,39,24,1427,1982,988,36,5,1,0,0,,14,22,1,0,0,0,0,0,0,31,7,1,0,0,0,0,0,2,-48015,1
39  29  2,NG7,39,29,1427,1995,1148,23,2,1,0,3,1,21,12,1,0,1,1,0,0,0,31,3,1,5,0,1,1,1,5,119525,1
39  31  2,NG7,39,31,1427,1983,997,35,5,1,0,1,6,21,12,1,0,1,1,0,0,1,31,6,1,2,0,10,0,0,5,129652,1
39  33  2,NG7,39,33,1427,1986,1042,32,4,1,0,3,4,21,12,1,0,1,1,0,1,0,31,6,1,5,0,5,1,0,5,119941,1
39  35  1,NG7,39,35,1427,1970,844,48,7,1,0,2,3,62,13,1,1,1,0,0,0,0,31,6,2,3,0,1,0,0,4,46176,1
39  35  4,NG7,39,35,1427,2000,1202,18,1,1,0,2,3,62,13,1,1,1,0,0,0,0,31,6,2,3,0,1,0,0,4,46176,0
39  40  1,NG7,39,40,1427,1990,1085,28,3,1,0,2,6,92,13,1,0,1,0,0,0,0,31,1,0,4,0,1,1,0,5,118403,1
39  42  2,NG7,39,42,1427,1993,1126,25,3,1,0,3,3,62,13,1,0,1,0,0,0,0,31,5,3,5,0,0,0,0,4,58550,1
39  44  2,NG7,39,44,1427,1992,1109,26,3,1,0,2,6,62,13,1,0,1,0,0,0,0,31,2,0,4,0,0,0,0,4,62978,1
39  47  2,NG7,39,47,1427,1991,1102,27,3,1,0,2,6,21,13,1,0,1,0,0,0,1,31,6,2,4,0,2,1,1,4,63773,0
39  51  2,NG7,39,51,1427,1982,990,36,5,1,0,2,6,62,22,1,0,1,0,0,0,1,31,6,0,4,0,3,0,0,3,3360,1
39  51  3,NG7,39,51,1427,2003,1237,15,1,1,0,2,2,62,22,1,0,1,0,0,0,1,31,6,0,3,0,0,0,0,3,3360,0
39  51  6,NG7,39,51,1427,2000,1206,18,1,1,0,2,5,62,22,1,0,1,0,0,0,1,31,6,0,3,0,0,0,0,3,3360,0
39  54  2,NG7,39,54,1427,2001,1224,16,1,1,0,2,3,62,22,1,0,1,0,0,0,0,31,4,0,3,0,0,0,0,3,24706,1
39  56  2,NG7,39,56,1427,1993,1118,25,3,1,0,2,5,62,22,1,0,0,0,0,0,0,31,2,0,3,0,2,0,0,3,-6949,1
39  58  2,NG7,39,58,1427,1983,1000,35,5,1,0,2,1,62,13,1,1,1,1,0,0,1,31,8,2,3,0,1,0,0,5,105516,0
39  58  4,NG7,39,58,1427,2003,1240,15,1,1,0,1,5,62,13,1,1,1,1,0,0,1,31,8,2,1,0,0,0,0,5,105516,0
39  60  2,NG7,39,60,1427,1996,1164,21,2,1,0,2,6,62,13,1,0,1,0,0,0,1,31,3,1,4,0,7,0,1,4,96276,1
39  63  2,NG7,39,63,1427,1973,877,45,7,1,0,0,,62,13,1,0,0,0,0,0,0,31,9,2,0,0,1,0,0,3,-37086,1
39  65  7,NG7,39,65,1427,2000,1204,18,1,1,0,1,6,62,22,1,1,1,0,0,0,0,31,9,0,2,0,0,0,0,3,-1193,0
39  65  8,NG7,39,65,1427,2003,1239,15,1,1,0,2,3,62,22,1,1,1,0,0,0,0,31,9,0,3,0,0,0,0,3,-1193,0
39  67  2,NG7,39,67,1427,1991,1100,27,3,1,0,2,6,62,13,1,0,0,0,0,0,0,31,4,2,4,0,0,0,0,3,19585,0
40   1  2,NG7,40,1,1427,1971,858,47,7,1,0,2,6,32,13,1,1,1,1,0,1,1,31,18,1,4,0,2,1,0,5,107423,1
40   1  5,NG7,40,1,1427,2001,1214,17,1,1,0,2,3,32,13,1,1,1,1,0,1,1,31,18,1,3,0,1,0,0,5,107423,0
40   1  7,NG7,40,1,1427,2002,1228,16,1,1,0,1,6,32,13,1,1,1,1,0,1,1,31,18,1,2,0,0,0,0,5,107423,0
40   1  8,NG7,40,1,1427,2003,1246,15,1,1,0,2,1,32,13,1,1,1,1,0,1,1,31,18,1,3,0,0,0,0,5,107423,0
40   1 11,NG7,40,1,1427,2000,1202,18,1,1,0,2,3,32,13,1,1,1,1,0,1,1,31,18,1,3,0,3,0,2,5,107423,0
40   6  2,NG7,40,6,1427,2000,1206,18,1,1,0,0,,62,22,1,1,0,0,0,0,0,31,4,2,0,0,1,0,0,3,-39207,1
40   8  2,NG7,40,8,1427,1991,1100,27,3,1,0,1,6,32,22,1,0,1,0,0,1,0,31,11,3,2,0,5,0,0,3,22124,1
40   8  9,NG7,40,8,1427,1989,1072,29,3,1,0,1,6,32,22,1,0,1,0,0,1,0,31,11,3,2,0,2,0,0,3,22124,0
40  10  2,NG7,40,10,1427,1991,1102,27,3,1,0,2,6,32,12,1,1,1,0,0,1,0,31,3,1,4,0,8,1,0,4,61214,0
40  12  8,NG7,40,12,1427,1991,1094,27,3,1,0,0,,62,22,1,0,1,0,0,0,0,31,10,1,0,0,1,0,0,4,66893,0
40  16  2,NG7,40,16,1427,1980,961,38,5,1,0,1,6,62,22,1,0,1,0,0,0,0,35,13,3,2,0,10,0,0,3,-12967,1
40  16  9,NG7,40,16,1427,1992,1114,26,3,1,0,0,,62,22,1,0,1,0,0,0,0,35,13,3,0,0,2,0,0,3,-12967,1
40  18  2,NG7,40,18,1427,1993,1123,25,3,1,0,2,6,62,13,1,1,1,0,0,0,0,31,3,1,4,0,2,0,0,4,75975,1
40  20  2,NG7,40,20,1427,1993,1126,25,3,1,0,0,,92,22,1,0,1,0,0,0,0,31,4,2,0,0,1,0,0,3,-10366,1
40  22  2,NG7,40,22,1427,1985,1029,33,4,1,0,1,6,21,22,1,0,0,1,1,0,1,31,10,3,2,0,4,0,0,2,-50923,1
40  25  2,NG7,40,25,1427,1990,1086,28,3,1,0,1,6,62,12,1,1,1,0,0,0,0,31,15,4,2,0,0,0,0,4,45992,0
40  25  7,NG7,40,25,1427,2000,1202,18,1,1,0,2,2,62,12,1,1,1,0,0,0,0,31,15,4,3,0,1,0,0,4,45992,0
40  25  8,NG7,40,25,1427,1978,943,40,6,1,0,0,,62,12,1,1,1,0,0,0,0,31,15,4,0,0,3,0,0,4,45992,1
40  25 15,NG7,40,25,1427,1996,1156,22,2,1,0,2,5,62,12,1,1,1,0,0,0,0,31,15,4,3,0,2,1,1,4,45992,1
40  27  2,NG7,40,27,1427,1991,1095,27,3,1,0,2,6,14,13,1,1,1,0,0,0,0,31,3,1,4,0,2,0,0,4,85603,1
40  29  2,NG7,40,29,1427,1987,1051,31,4,1,0,2,6,92,13,1,0,1,0,1,1,0,31,2,0,4,0,2,0,0,5,137383,1
40  31  3,NG7,40,31,1427,2003,1246,15,1,1,0,1,6,14,13,1,1,0,0,0,0,0,31,7,0,2,0,1,0,0,3,-42330,1
40  31  4,NG7,40,31,1427,2003,1247,15,1,1,0,1,6,14,13,1,1,0,0,0,0,0,31,7,0,2,0,0,0,0,3,-42330,0
40  31  5,NG7,40,31,1427,2003,1247,15,1,1,0,1,6,14,13,1,1,0,0,0,0,0,31,7,0,2,0,0,0,0,3,-42330,1
40  33  6,NG7,40,33,1427,2000,1206,18,1,1,0,2,4,62,22,1,1,1,1,0,0,0,31,6,0,3,0,2,0,0,4,82215,0
40  35  1,NG7,40,35,1427,1980,971,38,5,1,0,1,6,62,12,1,1,1,1,0,0,0,31,9,2,2,0,0,0,0,4,96598,0
40  35  2,NG7,40,35,1427,2000,1210,18,1,1,0,2,6,62,12,1,1,1,1,0,0,0,31,9,2,4,0,0,0,0,4,96598,1
40  35  3,NG7,40,35,1427,2002,1229,16,1,1,0,2,6,62,12,1,1,1,1,0,0,0,31,9,2,4,0,0,0,0,4,96598,1
40  35  4,NG7,40,35,1427,2001,1222,17,1,1,0,2,4,62,12,1,1,1,1,0,0,0,31,9,2,3,0,0,0,0,4,96598,1
40  37  2,NG7,40,37,1427,1982,989,36,5,1,0,1,3,62,12,1,0,1,1,0,1,0,31,9,1,1,0,1,0,0,4,87926,1
40  37  4,NG7,40,37,1427,2003,1239,15,1,1,0,2,3,62,12,1,0,1,1,0,1,0,31,9,1,3,0,1,0,0,4,87926,0
40  39  2,NG7,40,39,1427,1988,1059,30,4,1,0,2,3,14,13,1,1,1,1,0,0,1,31,8,1,3,0,1,0,0,4,95768,1
40  39  3,NG7,40,39,1427,2003,1238,15,1,1,0,2,2,14,13,1,1,1,1,0,0,1,31,8,1,3,0,3,0,0,4,95768,1
40  39  8,NG7,40,39,1427,1998,1186,20,2,1,0,0,,97,97,7,7,7,7,7,7,7,97,8,1,0,7,1,0,0,4,95768,0
40  41  2,NG7,40,41,1427,1991,1094,27,3,1,0,2,6,62,13,1,1,1,1,0,0,0,31,5,2,4,0,3,1,0,5,125690,0
40  43  2,NG7,40,43,1427,1993,1120,25,3,1,0,0,,14,13,1,1,1,0,0,0,1,31,4,2,0,0,1,0,0,4,83648,1
40  46  2,NG7,40,46,1427,1988,1066,30,4,1,0,2,2,62,12,1,0,1,0,0,1,1,31,10,4,3,0,0,0,0,5,102225,1
40  46  9,NG7,40,46,1427,1993,1118,25,3,1,0,1,6,62,12,1,0,1,0,0,1,1,31,10,4,2,0,0,0,0,5,102225,0
40  48  2,NG7,40,48,1427,1986,1042,32,4,1,0,1,6,62,13,1,0,0,0,0,0,0,31,3,1,2,0,0,0,0,4,39685,1
40  50  2,NG7,40,50,1427,1998,1185,20,2,1,0,3,2,92,13,1,0,1,1,0,0,1,31,3,0,5,0,1,1,1,5,151886,1
40  50  3,NG7,40,50,1427,2000,1207,18,1,1,0,2,5,92,13,1,0,1,1,0,0,1,31,3,0,3,0,0,0,0,5,151886,0
40  54  3,NG7,40,54,1427,1996,1159,22,2,1,0,2,2,62,13,1,1,0,1,0,0,0,31,8,0,3,0,1,1,0,4,33330,1
40  54  4,NG7,40,54,1427,2001,1218,17,1,1,0,2,4,62,13,1,1,0,1,0,0,0,31,8,0,3,0,1,0,0,4,33330,0
40  54  6,NG7,40,54,1427,1996,1160,22,2,1,0,2,4,62,13,1,1,0,1,0,0,0,31,8,0,3,0,1,0,0,4,33330,0
41  10  1,NG7,41,10,1426,1969,837,49,7,1,0,2,6,92,12,1,1,1,1,0,0,1,31,3,0,4,0,5,1,1,5,218975,1
41  10  2,NG7,41,10,1426,1999,1195,19,1,1,0,2,6,92,12,1,1,1,1,0,0,1,31,3,0,4,0,0,1,1,5,218975,0
41  10  3,NG7,41,10,1426,2002,1227,16,1,1,0,2,2,92,12,1,1,1,1,0,0,1,31,3,0,3,0,0,0,0,5,218975,0
41  14  3,NG7,41,14,1426,1998,1178,20,2,1,0,3,2,11,12,1,0,1,1,0,0,1,31,5,0,5,0,0,1,1,5,217477,0
