CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
1  3  1,SN7,1,3,1434,1992,1108,27,3,1,0,1,2,11,11,1,0,1,1,0,0,0,35,5,0,1,1,,0,1,5,179398,1
1  4  2,SN7,1,4,1434,1991,1100,27,3,1,0,6,98,14,11,1,1,1,0,0,1,0,35,6,2,0,0,,0,0,4,97105,1
1  6  3,SN7,1,6,1434,1992,1105,27,3,1,0,3,5,11,11,1,1,1,1,0,0,0,35,6,0,5,0,,1,1,5,204158,1
1  6  4,SN7,1,6,1434,1997,1167,22,2,1,0,1,5,11,11,1,1,1,1,0,0,0,35,6,0,1,0,,0,1,5,204158,0
1  6  6,SN7,1,6,1434,1995,1144,24,2,1,0,3,1,11,11,1,1,1,1,0,0,0,35,6,0,5,0,,1,1,5,204158,1
1  9  6,SN7,1,9,1434,1971,858,48,7,1,0,0,,12,11,1,1,1,1,0,0,0,35,8,0,0,0,,0,1,5,146260,1
1 10  2,SN7,1,10,1434,1969,836,49,7,1,0,0,,12,11,1,0,1,1,0,0,0,35,3,0,0,0,,0,0,5,118404,0
1 11  3,SN7,1,11,1434,1990,1090,28,3,1,0,2,6,71,11,1,0,1,1,0,0,0,35,7,0,3,1,,1,1,5,236985,0
1 11  5,SN7,1,11,1434,1978,947,40,6,1,0,2,6,71,11,1,0,1,1,0,0,0,35,7,0,3,1,,1,1,5,236985,0
1 11  6,SN7,1,11,1434,1972,867,47,7,1,0,1,5,71,11,1,0,1,1,0,0,0,35,7,0,1,1,,0,1,5,236985,0
1 12  2,SN7,1,12,1434,1986,1041,32,4,1,0,1,5,11,11,1,1,1,1,0,0,0,35,6,0,1,0,,1,1,4,114133,1
1 12  6,SN7,1,12,1434,2003,1237,16,1,1,0,1,5,11,11,1,1,1,1,0,0,0,35,6,0,1,0,,0,1,4,114133,1
1 13  1,SN7,1,13,1434,1970,849,48,7,1,0,3,0,11,11,1,1,1,1,0,0,0,23,3,0,5,0,,1,1,5,153382,1
1 14  2,SN7,1,14,1434,1990,1084,29,3,1,0,0,,14,11,1,1,1,0,0,0,0,31,3,1,0,0,,0,1,4,78943,1
1 16  2,SN7,1,16,1434,1976,914,43,6,1,0,0,,12,11,1,1,1,0,0,0,0,33,9,1,0,0,,0,0,3,53817,1
1 16  3,SN7,1,16,1434,2004,1251,15,1,1,0,2,3,12,11,1,1,1,0,0,0,0,33,9,1,3,0,,0,1,3,53817,0
1 18  6,SN7,1,18,1434,1990,1092,28,3,1,0,0,,14,11,1,0,1,0,0,0,0,33,6,0,0,0,,0,1,3,56258,1
1 19  2,SN7,1,19,1434,1986,1034,33,4,1,0,0,,14,11,1,0,1,0,0,0,0,35,5,1,0,0,,0,1,3,59460,1
1 20  2,SN7,1,20,1434,1974,890,45,7,1,0,2,3,71,11,1,1,1,1,0,0,0,35,2,0,3,0,,0,1,5,154149,1
1 21  2,SN7,1,21,1434,1992,1112,26,3,1,0,0,,71,11,1,1,1,0,0,1,0,35,4,1,0,0,,0,0,5,131775,1
2  1  2,SN7,2,1,1440,1981,974,38,5,1,0,0,,12,11,1,0,1,0,0,0,0,35,6,1,0,0,,0,0,4,105154,1
2  1  3,SN7,2,1,1440,2002,1230,17,1,1,0,1,6,12,11,1,0,1,0,0,0,0,35,6,1,2,0,,0,2,4,105154,0
2  2  3,SN7,2,2,1440,1997,1174,22,2,1,0,2,5,11,11,1,1,1,1,0,0,0,35,5,0,3,0,,0,1,5,138176,0
2  4  3,SN7,2,4,1440,1998,1178,21,2,1,0,2,4,12,11,1,0,1,0,0,0,0,35,4,0,3,0,,0,0,4,71170,1
2  6  2,SN7,2,6,1440,1991,1093,28,3,1,0,3,3,11,21,1,1,1,1,0,1,0,35,3,1,5,1,,0,1,5,149758,1
2  8  1,SN7,2,8,1440,1976,917,43,6,1,0,1,5,12,11,1,0,1,0,0,0,0,35,2,0,1,0,,0,0,4,93476,1
2  8  2,SN7,2,8,1440,1981,976,38,5,1,0,0,,12,11,1,0,1,0,0,0,0,35,2,0,0,0,,0,0,4,93476,0
2 15  2,SN7,2,15,1440,1997,1173,22,2,1,0,3,1,11,21,1,1,1,1,0,0,0,35,4,0,5,1,,1,1,5,208599,0
2 15  3,SN7,2,15,1440,2002,1235,17,1,1,0,2,2,11,21,1,1,1,1,0,0,0,35,4,0,3,1,,0,1,5,208599,0
2 19  3,SN7,2,19,1440,2001,1220,18,1,1,0,2,6,12,21,1,1,1,1,0,0,0,35,4,0,3,0,,0,1,5,162740,1
2 19  4,SN7,2,19,1440,1997,1171,22,2,1,0,3,1,12,21,1,1,1,1,0,0,0,35,4,0,5,0,,1,1,5,162740,0
2 21  4,SN7,2,21,1440,1978,945,41,6,1,0,2,4,12,21,1,1,1,0,0,0,0,35,6,1,3,0,,1,1,5,126416,1
3  1  3,SN7,3,1,1435,1979,959,39,5,1,0,1,5,12,12,1,1,1,0,0,0,0,33,8,1,1,0,,0,1,4,65045,1
3  3  5,SN7,3,3,1435,1998,1179,21,2,1,0,2,0,11,12,1,1,1,1,1,1,1,35,16,5,3,0,,0,1,5,164834,1
3  3  8,SN7,3,3,1435,1995,1144,24,2,1,0,0,,11,12,1,1,1,1,1,1,1,35,16,5,0,0,,0,1,5,164834,0
3  3 10,SN7,3,3,1435,1989,1069,30,4,1,0,1,2,11,12,1,1,1,1,1,1,1,35,16,5,1,0,,0,0,5,164834,1
3  6  2,SN7,3,6,1435,2000,1201,19,1,1,0,0,,12,12,1,0,1,0,0,0,0,35,3,0,0,0,,0,0,4,85777,0
3  7  2,SN7,3,7,1435,1987,1049,32,4,1,0,1,2,11,13,1,0,0,0,0,0,0,35,3,1,1,0,,0,0,4,66814,1
3  8  8,SN7,3,8,1435,1988,1063,31,4,1,0,0,,12,12,1,1,1,1,0,0,0,33,25,6,0,0,,0,0,4,80655,0
3  8 13,SN7,3,8,1435,1984,1013,35,5,1,0,0,,12,12,1,1,1,1,0,0,0,33,25,6,0,0,,0,1,4,80655,0
3  8 21,SN7,3,8,1435,1974,889,45,7,1,0,0,,12,12,1,1,1,1,0,0,0,33,25,6,0,0,,0,0,4,80655,1
3  8 25,SN7,3,8,1435,1996,1153,23,2,1,0,2,6,97,97,7,7,7,7,7,7,7,97,25,6,3,7,,0,1,4,80655,0
3  9  2,SN7,3,9,1435,1979,953,40,6,1,0,1,5,11,13,1,1,1,1,0,1,1,34,4,1,1,0,,0,0,5,159108,1
3 11  4,SN7,3,11,1435,1990,1087,29,3,1,0,0,,11,13,1,1,1,1,0,1,0,33,17,0,0,0,,1,0,4,110810,1
3 11 12,SN7,3,11,1435,1998,1179,21,2,1,0,0,,11,13,1,1,1,1,0,1,0,33,17,0,0,0,,0,0,4,110810,1
3 11 15,SN7,3,11,1435,1987,1055,31,4,1,0,1,5,11,13,1,1,1,1,0,1,0,33,17,0,1,0,,0,1,4,110810,1
3 13  2,SN7,3,13,1435,1992,1106,27,3,1,0,0,,11,12,1,1,0,0,0,0,0,33,2,0,0,0,,0,1,4,78591,1
3 14  3,SN7,3,14,1435,1977,936,41,6,1,0,0,,11,13,1,1,1,1,0,0,0,33,17,4,0,0,,0,0,4,104728,0
3 14  5,SN7,3,14,1435,1999,1195,20,2,1,0,0,,11,13,1,1,1,1,0,0,0,33,17,4,0,0,,0,0,4,104728,1
3 14  9,SN7,3,14,1435,1984,1010,35,5,1,0,1,0,11,13,1,1,1,1,0,0,0,33,17,4,1,0,,1,0,4,104728,1
3 14 15,SN7,3,14,1435,1992,1115,26,3,1,0,1,5,11,13,1,1,1,1,0,0,0,33,17,4,1,0,,0,1,4,104728,1
3 15  2,SN7,3,15,1435,1986,1037,33,4,1,0,1,3,14,12,1,1,1,1,0,1,0,33,9,0,1,0,,0,0,3,56197,1
3 15  4,SN7,3,15,1435,1989,1070,30,4,1,0,1,6,14,12,1,1,1,1,0,1,0,33,9,0,2,0,,0,1,3,56197,1
3 15  5,SN7,3,15,1435,1983,1002,36,5,1,0,0,,14,12,1,1,1,1,0,1,0,33,9,0,0,0,,0,1,3,56197,1
3 18  4,SN7,3,18,1435,1985,1027,34,4,1,0,1,0,11,13,1,1,1,0,0,0,0,35,5,1,1,0,,0,0,4,107983,1
3 19  2,SN7,3,19,1435,1988,1062,31,4,1,0,2,0,14,31,1,0,0,0,0,0,0,34,2,0,3,0,,0,1,3,39992,1
3 20  2,SN7,3,20,1435,1984,1010,35,5,1,0,0,,12,12,1,1,1,0,0,0,0,33,9,1,0,0,,0,1,4,86427,0
3 20  4,SN7,3,20,1435,2001,1224,17,1,1,0,1,3,12,12,1,1,1,0,0,0,0,33,9,1,1,0,,0,1,4,86427,1
3 22  1,SN7,3,22,1435,1977,928,42,6,1,0,0,,11,12,1,0,1,0,0,0,0,35,1,0,0,0,,0,1,5,122533,1
4  1  1,SN7,4,1,1439,1986,1038,33,4,1,0,0,,11,12,1,0,1,1,0,0,0,35,7,1,0,0,,1,0,5,165214,1
